,info,date,rating,title
0,"Verified User
          현직원 · 이****** · 구매·물류·SCM 전문가 - 2023.11.15",2023.11.15,Rating Score1.0,흠…식품업계…
1,"Verified User
          현직원 · F***** · 영업 전문가 - 2023.11.15",2023.11.15,Rating Score4.0,복지가 좋아요
2,"Verified User
          현직원 · a****** · 품질관리·보증 전문가 - 2023.11.14",2023.11.14,Rating Score3.0,일은 확실히 배우는 회사
3,"Verified User
          현직원 · e****** · 구매·물류·SCM 전문가 - 2023.11.14",2023.11.14,Rating Score4.0,근무지마다 다 다른 회사 같음
4,"Verified User
          현직원 · j********* · 생산엔지니어·생산관리 - 2023.11.13",2023.11.13,Rating Score3.0,생산직은 별로
5,"Verified User
          현직원 · R***** · 구매·물류·SCM 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,능력 있으면 높이 올라갈 수 있는 회사
6,"Verified User
          현직원 · o***** · IT 기획·매니지먼트 전문가 - 2023.11.13",2023.11.13,Rating Score5.0,이만한 회사가 있나 싶다 꼭 들어와서 느끼세요
7,"Verified User
          현직원 · 벅***** · 생산엔지니어·생산관리 - 2023.11.12",2023.11.12,Rating Score3.0,대감집 노비
8,"Verified User
          현직원 · X***** · 상품기획·MD·디자이너 - 2023.11.07",2023.11.07,Rating Score2.0,별로
9,"Verified User
          현직원 · 1********* · 생산엔지니어·생산관리 - 2023.11.06",2023.11.06,Rating Score3.0,썩어도 준치
10,"Verified User
          현직원 · l****** · 영업 전문가 - 2023.11.05",2023.11.05,Rating Score3.0,워라밸은 자기 선택
11,"Verified User
          현직원 · 나*** · 경영지원·관리 전문가 - 2023.11.04",2023.11.04,Rating Score3.0,글로벌은 그렇게 한다고 되나
12,"Verified User
          현직원 · C***** · 환경·안전·보건 전문가 - 2023.11.03",2023.11.03,Rating Score4.0,식품회사에서 커리어를 만들고 싶다면 꼭 가야지
13,"Verified User
          현직원 · C** · 생산엔지니어·생산관리 - 2023.11.03",2023.11.03,Rating Score2.0,직원 개돼지로 보는 회사
14,"Verified User
          현직원 · D***** · 경영전략·사업기획·분석전문가 - 2023.11.02",2023.11.02,Rating Score3.0,보이는 것이 중요한 회사
15,"Verified User
          현직원 · d******** · 마케팅·홍보 전문가 - 2023.11.02",2023.11.02,Rating Score5.0,변화를 노력하지만 한계가 뚜렷한 회사
16,"Verified User
          현직원 · w***** · 경영지원·관리 전문가 - 2023.10.31",2023.10.31,Rating Score3.0,발전이 없는 회사
17,"Verified User
          현직원 · 보**** · 영업 전문가 - 2023.10.29",2023.10.29,Rating Score3.0,이직하기 좋은 회사
