,info,date,rating,title
0,"Verified User
          현직원 · i********* · 경영지원·관리 전문가 - 2023.11.13",2023.11.13,Rating Score2.0,삶을 포기하고 돈을 받는다
1,"Verified User
          현직원 · e**** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score3.0,제조회사
2,"Verified User
          현직원 · r*** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score5.0,최고입니다~
3,"Verified User
          현직원 · U***** · 하드웨어 엔지니어 - 2023.11.15",2023.11.15,Rating Score3.0,공부하기 좋은 회사
4,"Verified User
          현직원 · a***** · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score3.0,진리의 부마부
5,"Verified User
          현직원 · x***** · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score4.0,장단점이 함께 존재하는 회사
6,"Verified User
          현직원 · l******** · IT 디자이너 - 2023.11.14",2023.11.14,Rating Score4.0,좋은 회사
7,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.11.14",2023.11.14,Rating Score5.0,돈 적당히 높음. 워라밸 적당함
8,"Verified User
          현직원 · l******** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score1.0,그냥 무난한 대기업
9,"Verified User
          현직원 · 후*** · 생산엔지니어·생산관리 - 2023.11.14",2023.11.14,Rating Score4.0,커리어 향상은 도움 되나..
10,"Verified User
          현직원 · W***** · 생산엔지니어·생산관리 - 2023.11.13",2023.11.13,Rating Score4.0,대한민국 1위 회사라는 자부심
11,"Verified User
          현직원 · 블******* · IT 엔지니어 - 2023.11.13",2023.11.13,Rating Score5.0,워라밸이 보장되는 회사
12,"Verified User
          현직원 · h******* · 연구개발(R&D) - 2023.11.13",2023.11.13,Rating Score5.0,워라밸 보장
13,"Verified User
          현직원 · q******** · 연구개발(R&D) - 2023.11.13",2023.11.13,Rating Score5.0,모두들 와라
14,"Verified User
          현직원 · B***** · 생산엔지니어·생산관리 - 2023.11.13",2023.11.13,Rating Score2.0,너무 고여있음
15,"Verified User
          현직원 · b**** · 마케팅·홍보 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,시스템을 배울 수 있는 회사
16,"Verified User
          현직원 · 완**** · 하드웨어 엔지니어 - 2023.11.12",2023.11.12,Rating Score4.0,복지 하나는 마음에 듭니다
17,"Verified User
          현직원 · 귤* · 연구개발(R&D) - 2023.11.12",2023.11.12,Rating Score4.0,경영진이 무슨 생각 하는지 모르겠음
18,"Verified User
          현직원 · 두***** · 연구개발(R&D) - 2023.11.12",2023.11.12,Rating Score4.0,기본은 하는 회사
19,"Verified User
          현직원 · i********* · 연구개발(R&D) - 2023.11.12",2023.11.12,Rating Score4.0,기본은 함.
20,"Verified User
          현직원 · x***** · 건설 엔지니어 - 2023.11.12",2023.11.12,Rating Score3.0,좋은 회사
21,"Verified User
          현직원 · l******** · 연구개발(R&D) - 2023.11.12",2023.11.12,Rating Score4.0,"부자 부, 근무지 by 근무지"
22,"Verified User
          현직원 · s****** · 경영지원·관리 전문가 - 2023.11.11",2023.11.11,Rating Score3.0,무난한 회사
23,"Verified User
          현직원 · w***** · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score5.0,나쁘지 않아요
24,"Verified User
          현직원 · j********* · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score3.0,욕심 없으면 최고
25,"Verified User
          현직원 · s**** · 생산엔지니어·생산관리 - 2023.11.11",2023.11.11,Rating Score4.0,이만하면 됐지
26,"Verified User
          현직원 · i********* · 하드웨어 엔지니어 - 2023.11.10",2023.11.10,Rating Score2.0,꼰대들과 함께하는 침몰하는 배 탐방
27,"Verified User
          현직원 · X***** · 품질관리·보증 전문가 - 2023.11.10",2023.11.10,Rating Score5.0,워라밸 따위 개나 줘버려
28,"Verified User
          현직원 · e***** · 경영지원·관리 전문가 - 2023.11.10",2023.11.10,Rating Score4.0,월급 많이 받는 공무원 느낌
29,"Verified User
          현직원 · E***** · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score3.0,돈은 많이 줌
30,"Verified User
          현직원 · u***** · 경영지원·관리 전문가 - 2023.11.10",2023.11.10,Rating Score3.0,남들 보기에 좋은 회사
31,"Verified User
          현직원 · D***** · 연구개발(R&D) - 2023.11.09",2023.11.09,Rating Score5.0,그래도 이만한 곳
32,"Verified User
          현직원 · 퇴****** · 연구개발(R&D) - 2023.11.09",2023.11.09,Rating Score4.0,사업부장들이 문젠듯
33,"Verified User
          현직원 · L***** · 연구개발(R&D) - 2023.11.09",2023.11.09,Rating Score4.0,미래 연구 투자가 더 필요한 회사
