,info,date,rating,title
0,"Verified User
          현직원 · 아******* · 생산엔지니어·생산관리 - 2023.10.21",2023.10.21,Rating Score2.0,경영진이 문제 잘 보이길 위한  업무
1,"Verified User
          현직원 · 백**** · 경영지원·관리 전문가 - 2023.11.16",2023.11.16,Rating Score3.0,워라밸만 좋음
2,"Verified User
          현직원 · D***** · 영업 전문가 - 2023.11.09",2023.11.09,Rating Score5.0,실적이 잘 나오면 최고의 회사
3,"Verified User
          현직원 · M***** · 마케팅·홍보 전문가 - 2023.11.09",2023.11.09,Rating Score4.0,복지 하나는 최고
4,"Verified User
          현직원 · q***** · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score5.0,워라밸은 최고
5,"Verified User
          현직원 · b********* · 품질관리·보증 전문가 - 2023.11.06",2023.11.06,Rating Score4.0,워라밸이 보장되는 회사
6,"Verified User
          현직원 · K***** · 경영전략·사업기획·분석전문가 - 2023.11.04",2023.11.04,Rating Score4.0,"워라밸, 근무환경이 좋음"
7,"Verified User
          현직원 · f***** · 영업 전문가 - 2023.11.04",2023.11.04,Rating Score4.0,여직원들 다니기 좋은 회사
8,"Verified User
          현직원 · j***** · 마케팅·홍보 전문가 - 2023.11.01",2023.11.01,Rating Score3.0,화장품 많이 써볼 수 있음
9,"Verified User
          전직원 · T***** · 경영지원·관리 전문가 - 2023.10.31",2023.10.31,Rating Score3.0,겉보기에 더 좋은 회사
10,"Verified User
          현직원 · B***** · 경영전략·사업기획·분석전문가 - 2023.10.27",2023.10.27,Rating Score4.0,코리아 넘버원 뷰티 회사의 명암
11,"Verified User
          현직원 · d****** · 연구개발(R&D) - 2023.10.26",2023.10.26,Rating Score3.0,워라밸 좋은 화장품 회사
12,"Verified User
          현직원 · 헬** · 마케팅·홍보 전문가 - 2023.10.23",2023.10.23,Rating Score4.0,장단점이 분명한 회사
13,"Verified User
          현직원 · a***** · 고객서비스 전문가 - 2023.10.23",2023.10.23,Rating Score3.0,"딱히,,"
14,"Verified User
          현직원 · l********* · 영업 전문가 - 2023.10.23",2023.10.23,Rating Score4.0,복지 때문에 참고 다닐 수 있었음
15,"Verified User
          현직원 · i***** · 상품기획·MD·디자이너 - 2023.10.23",2023.10.23,Rating Score5.0,아이 키우기면서 다니기 너무 좋은 회사
16,"Verified User
          현직원 · q****** · 경영지원·관리 전문가 - 2023.10.22",2023.10.22,Rating Score4.0,"워라밸 상, 업무 강도 하"
17,"Verified User
          현직원 · b**** · 마케팅·홍보 전문가 - 2023.10.21",2023.10.21,Rating Score4.0,"근무환경이 좋고, 워라밸이 보장되는 회사"
18,"Verified User
          전직원 · N***** · 상품기획·MD·디자이너 - 2023.10.19",2023.10.19,Rating Score5.0,팀 버팀이나 제가 있던 팀은 분위기가 좋았습니다
19,"Verified User
          현직원 · c***** · 경영지원·관리 전문가 - 2023.10.19",2023.10.19,Rating Score4.0,워라밸 좋은 회사
20,"Verified User
          현직원 · H***** · 마케팅·홍보 전문가 - 2023.10.19",2023.10.19,Rating Score5.0,워라밸이 좋은 회사
21,"Verified User
          현직원 · x***** · 상품기획·MD·디자이너 - 2023.10.17",2023.10.17,Rating Score3.0,삶의 균형만 좋음
22,"Verified User
          현직원 · z***** · 품질관리·보증 전문가 - 2023.10.16",2023.10.16,Rating Score4.0,워라밸 보장하는 회사
23,"Verified User
          전직원 · B***** · 해외영업·사업개발·마케팅 - 2023.10.16",2023.10.16,Rating Score4.0,업무 자율성이 보장되는 회사
24,"Verified User
          현직원 · D***** · 생산엔지니어·생산관리 - 2023.10.15",2023.10.15,Rating Score3.0,급여 짜다 워라밸 가능
25,"Verified User
          현직원 · Q***** · 해외영업·사업개발·마케팅 - 2023.10.15",2023.10.15,Rating Score4.0,점잖은 사람들. 적당히 치열한 회사
26,"Verified User
          현직원 · c**** · 경영전략·사업기획·분석전문가 - 2023.10.15",2023.10.15,Rating Score5.0,모든 게 평균 이상인 회사
27,"Verified User
          현직원 · j****** · 상품기획·MD·디자이너 - 2023.10.13",2023.10.13,Rating Score4.0,워라밸 좋은 회사
28,"Verified User
          현직원 · !******** · 고객서비스 전문가 - 2023.10.07",2023.10.07,Rating Score3.0,복지는 좋음
29,"Verified User
          현직원 · d********* · 경영지원·관리 전문가 - 2023.10.06",2023.10.06,Rating Score4.0,전 직원이 칼퇴 하는 회사
30,"Verified User
          현직원 · z***** · 경영지원·관리 전문가 - 2023.10.06",2023.10.06,Rating Score4.0,경영진 답답
31,"Verified User
          현직원 · t********* · 경영지원·관리 전문가 - 2023.10.05",2023.10.05,Rating Score4.0,업무 자율성 덕분에 재밌는 편
32,"Verified User
          현직원 · n******** · 상품기획·MD·디자이너 - 2023.10.05",2023.10.05,Rating Score4.0,본인이 잘하면 성장 가능
33,"Verified User
          현직원 · d******** · 상품기획·MD·디자이너 - 2023.10.05",2023.10.05,Rating Score4.0,워라밸이 보장되는 회사
34,"Verified User
          현직원 · y***** · 경영지원·관리 전문가 - 2023.10.04",2023.10.04,Rating Score5.0,좋은 회사. 더 잘 됐으면 하는 회사
35,"Verified User
          현직원 · r***** · 해외영업·사업개발·마케팅 - 2023.10.03",2023.10.03,Rating Score4.0,하고 싶은 일을 추진할 수 있는 회사
36,"Verified User
          현직원 · u**** · 경영전략·사업기획·분석전문가 - 2023.10.03",2023.10.03,Rating Score4.0,워라밸 굿
37,"Verified User
          현직원 · K***** · 마케팅·홍보 전문가 - 2023.09.27",2023.09.27,Rating Score4.0,그냥저냥 무난함
38,"Verified User
          현직원 · r***** · 연구개발(R&D) - 2023.09.25",2023.09.25,Rating Score3.0,워라밸은 보장
39,"Verified User
          현직원 · I******* · IT 엔지니어 - 2023.09.24",2023.09.24,Rating Score4.0,워라밸이 보장되는 회사
40,"Verified User
          현직원 · j***** · IT 기획·매니지먼트 전문가 - 2023.09.21",2023.09.21,Rating Score4.0,워라밸 굿
41,"Verified User
          현직원 · I***** · 마케팅·홍보 전문가 - 2023.09.21",2023.09.21,Rating Score4.0,무난히 다니기 좋은 회사
42,"Verified User
          전직원 · n***** · 마케팅·홍보 전문가 - 2023.09.20",2023.09.20,Rating Score3.0,워라밸만 보장되는 회사
43,"Verified User
          현직원 · b***** · 상품기획·MD·디자이너 - 2023.09.20",2023.09.20,Rating Score4.0,워라밸 좋고 직원들 인성이 괜찮은 회사
44,"Verified User
          현직원 · r***** · IT 디자이너 - 2023.09.19",2023.09.19,Rating Score4.0,여자가 다니기에 최고
45,"Verified User
          현직원 · R***** · 연구개발(R&D) - 2023.09.19",2023.09.19,Rating Score5.0,대체적으로 워라밸이 보장됨
