,info,date,rating,title
0,"Verified User
          현직원 · d*** · IT 엔지니어 - 2023.10.29",2023.10.29,Rating Score2.0,무너져 내리고 있는 회사
1,"Verified User
          현직원 · l******** · IT 엔지니어 - 2023.11.15",2023.11.15,Rating Score5.0,복지가 좋은 회사
2,"Verified User
          현직원 · p***** · IT 기획·매니지먼트 전문가 - 2023.11.15",2023.11.15,Rating Score4.0,좋은 사람들이 많이 모인 곳
3,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.11.14",2023.11.14,Rating Score3.0,점심 가격이 싸요
4,"Verified User
          전직원 · g***** · IT 디자이너 - 2023.11.11",2023.11.11,Rating Score4.0,워라밸 보장
5,"Verified User
          현직원 · m***** · IT 디자이너 - 2023.11.11",2023.11.11,Rating Score3.0,경영진이 망치는 회사
6,"Verified User
          현직원 · s*** · 마케팅·홍보 전문가 - 2023.11.07",2023.11.07,Rating Score4.0,업무에 집중할 수 있는 환경
7,"Verified User
          현직원 · z****** · IT 기획·매니지먼트 전문가 - 2023.11.07",2023.11.07,Rating Score3.0,본인이 하는 만큼 성장하는 회사
8,"Verified User
          현직원 · l******** · IT 기획·매니지먼트 전문가 - 2023.11.05",2023.11.05,Rating Score3.0,유연근무제 하나만 보고 버티는 중
9,"Verified User
          현직원 · i******** · 마케팅·홍보 전문가 - 2023.11.04",2023.11.04,Rating Score4.0,워라밸이 보장되는 회사
10,"Verified User
          현직원 · C***** · IT 엔지니어 - 2023.11.04",2023.11.04,Rating Score3.0,좋은 회사였는데...
11,"Verified User
          현직원 · s***** · 마케팅·홍보 전문가 - 2023.11.04",2023.11.04,Rating Score4.0,워라밸이 좋은 회사
12,"Verified User
          현직원 · 1********* · IT 기획·매니지먼트 전문가 - 2023.11.02",2023.11.02,Rating Score4.0,다양한 복지와 워라밸 좋은 곳
13,"Verified User
          현직원 · b********* · IT 엔지니어 - 2023.10.31",2023.10.31,Rating Score3.0,워라밸은 좋은데 성장은 모르겠음
14,"Verified User
          현직원 · 짐***** · 경영전략·사업기획·분석전문가 - 2023.10.27",2023.10.27,Rating Score3.0,혼란의 시기
15,"Verified User
          현직원 · ‘****** · IT 기획·매니지먼트 전문가 - 2023.10.26",2023.10.26,Rating Score1.0,경영진 교체 전에는 이미지 회복 불가
16,"Verified User
          현직원 · x***** · 경영전략·사업기획·분석전문가 - 2023.10.25",2023.10.25,Rating Score2.0,어디로 가는지 모르겠는 회사
17,"Verified User
          현직원 · G***** · IT 엔지니어 - 2023.10.25",2023.10.25,Rating Score5.0,성장할 기회를 주는 회사
18,"Verified User
          현직원 · d***** · IT 기획·매니지먼트 전문가 - 2023.10.24",2023.10.24,Rating Score4.0,"건강한 사내 문화, 발전은 스스로"
19,"Verified User
          현직원 · d***** · IT 기획·매니지먼트 전문가 - 2023.10.23",2023.10.23,Rating Score3.0,경영진 노 답
20,"Verified User
          현직원 · y******* · 경영지원·관리 전문가 - 2023.10.23",2023.10.23,Rating Score5.0,2030 다니기 제일 좋은 회사 
21,"Verified User
          현직원 · 아***** · IT 엔지니어 - 2023.10.22",2023.10.22,Rating Score3.0,워라밸 보장
22,"Verified User
          현직원 · i******* · IT 엔지니어 - 2023.10.22",2023.10.22,Rating Score5.0,성장하기 좋은 회사
23,"Verified User
          현직원 · l***** · IT 엔지니어 - 2023.10.21",2023.10.21,Rating Score3.0,경영진이 깎아먹는 회사
24,"Verified User
          현직원 · |********* · IT 엔지니어 - 2023.10.21",2023.10.21,Rating Score4.0,워라밸이 너무 좋아서 무뎌지기 쉬운 회사
25,"Verified User
          현직원 · b***** · IT 기획·매니지먼트 전문가 - 2023.10.20",2023.10.20,Rating Score4.0,직원 자율성이 보장된 회사
26,"Verified User
          현직원 · F***** · IT 엔지니어 - 2023.10.20",2023.10.20,Rating Score4.0,개발자에게 좋은 회사 그러나..
27,"Verified User
          현직원 · i********* · 금융상담·관리 전문가 - 2023.10.19",2023.10.19,Rating Score3.0,개발과 비 개발 직군이 구분되는 회사
28,"Verified User
          전직원 · I***** · IT 엔지니어 - 2023.10.17",2023.10.17,Rating Score3.0,워라밸 보장
29,"Verified User
          현직원 · 할*** · IT 엔지니어 - 2023.10.16",2023.10.16,Rating Score5.0,온 국민이 쓰는 메신저
30,"Verified User
          현직원 · J***** · IT 기획·매니지먼트 전문가 - 2023.10.15",2023.10.15,Rating Score3.0,주니어가 성장하기 너무 힘들다
31,"Verified User
          현직원 · i******** · 상품기획·MD·디자이너 - 2023.10.15",2023.10.15,Rating Score4.0,워라밸이 보장되는 회사
32,"Verified User
          현직원 · z***** · 경영전략·사업기획·분석전문가 - 2023.10.14",2023.10.14,Rating Score4.0,"복지/워라밸은 확실, 다만 내가 뭘 하는지 잘 모르겠는 회사"
33,"Verified User
          현직원 · O***** · IT 디자이너 - 2023.10.14",2023.10.14,Rating Score3.0,워라밸이 보장되는 회사
34,"Verified User
          현직원 · O***** · 경영전략·사업기획·분석전문가 - 2023.10.12",2023.10.12,Rating Score3.0,복지가 참 좋은 회사
35,"Verified User
          현직원 · 카****** · IT 엔지니어 - 2023.10.12",2023.10.12,Rating Score5.0,팀원들이 똑똑한 회사
36,"Verified User
          현직원 · h**** · IT 기획·매니지먼트 전문가 - 2023.10.11",2023.10.11,Rating Score5.0,근무환경은 좋으나 경영진은 모르겠음 
37,"Verified User
          현직원 · a****** · 경영지원·관리 전문가 - 2023.10.11",2023.10.11,Rating Score4.0,계속 다니고 싶은 회사
38,"Verified User
          현직원 · !******** · IT 디자이너 - 2023.10.10",2023.10.10,Rating Score3.0,카카오 
39,"Verified User
          현직원 · l********* · 정보보안·IT보안 - 2023.10.08",2023.10.08,Rating Score4.0,워라밸은 진짜 최고
40,"Verified User
          현직원 · f******* · IT 기획·매니지먼트 전문가 - 2023.10.06",2023.10.06,Rating Score3.0,포폴 욕으로는 최고지만 글쎄
41,"Verified User
          현직원 · k******* · IT 엔지니어 - 2023.10.06",2023.10.06,Rating Score3.0,한국의 구글은 옛말이다 회사는 어딜 가나 똑같다
42,"Verified User
          현직원 · :******* · IT 엔지니어 - 2023.10.06",2023.10.06,Rating Score3.0,방향성을 모르겠는 회사
43,"Verified User
          현직원 · y***** · IT 엔지니어 - 2023.10.05",2023.10.05,Rating Score3.0,워라밸이 보장되는 회사
44,"Verified User
          현직원 · j***** · IT 엔지니어 - 2023.10.04",2023.10.04,Rating Score3.0,워라밸만 남게 될 회사
45,"Verified User
          현직원 · x***** · IT 엔지니어 - 2023.10.04",2023.10.04,Rating Score3.0,워라밸은 최고
46,"Verified User
          현직원 · j******* · 상품기획·MD·디자이너 - 2023.10.03",2023.10.03,Rating Score5.0,사람들이 좋은 곳
47,"Verified User
          현직원 · .********* · IT 기획·매니지먼트 전문가 - 2023.10.01",2023.10.01,Rating Score4.0,유능하고 상식적인 동료들
48,"Verified User
          현직원 · z***** · IT 엔지니어 - 2023.10.01",2023.10.01,Rating Score4.0,자유로움
49,"Verified User
          현직원 · 에*** · 마케팅·홍보 전문가 - 2023.09.27",2023.09.27,Rating Score3.0,워라밸이 없는 회사
50,"Verified User
          현직원 · m******** · 상품기획·MD·디자이너 - 2023.09.27",2023.09.27,Rating Score4.0,복지와 사내 문화가 굿인 회사
51,"Verified User
          현직원 · n***** · IT 엔지니어 - 2023.09.26",2023.09.26,Rating Score3.0,경영진에 0점을 주지 못하는 게 화가 난다
52,"Verified User
          현직원 · S***** · IT 엔지니어 - 2023.09.26",2023.09.26,Rating Score5.0,워라밸이 보장되는 회사
53,"Verified User
          현직원 · H***** · IT 엔지니어 - 2023.09.25",2023.09.25,Rating Score3.0,워라밸 좋음 
54,"Verified User
          현직원 · !********* · IT 엔지니어 - 2023.09.23",2023.09.23,Rating Score3.0,워라밸은 좋으나 비전이 보이지 않음
55,"Verified User
          현직원 · l********* · IT 기획·매니지먼트 전문가 - 2023.09.22",2023.09.22,Rating Score3.0,경영진이 훌렁 말아먹는 회사
56,"Verified User
          현직원 · g**** · 경영전략·사업기획·분석전문가 - 2023.09.21",2023.09.21,Rating Score4.0,워라밸 좋음
57,"Verified User
          현직원 · d**** · 회계·세무·재무 전문가 - 2023.09.21",2023.09.21,Rating Score1.0,회사 이름이 그럴싸한 회사 
58,"Verified User
          현직원 · 카**** · 경영전략·사업기획·분석전문가 - 2023.09.19",2023.09.19,Rating Score4.0,"한 번쯤 다녀볼 만한 회사, 오래 다니기엔 음.."
59,"Verified User
          현직원 · J***** · IT 기획·매니지먼트 전문가 - 2023.09.18",2023.09.18,Rating Score2.0,점점 갈수록 망해가는 회사
60,"Verified User
          현직원 · O***** · IT 엔지니어 - 2023.09.18",2023.09.18,Rating Score4.0,다 좋지만 경영진은 글쎄..
61,"Verified User
          현직원 · n***** · 경영지원·관리 전문가 - 2023.09.17",2023.09.17,Rating Score4.0,워라밸
62,"Verified User
          현직원 · 높** · IT 엔지니어 - 2023.09.17",2023.09.17,Rating Score4.0,일하기는 좋은 곳
63,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.09.16",2023.09.16,Rating Score3.0,경영진 문제가 많은 회사
64,"Verified User
          현직원 · h***** · IT 기획·매니지먼트 전문가 - 2023.09.15",2023.09.15,Rating Score3.0,구성원들과 경영진이 나눠지지 않은 척하는 이상한 회사
65,"Verified User
          현직원 · T***** · IT 엔지니어 - 2023.09.14",2023.09.14,Rating Score3.0,아쉬움
66,"Verified User
          현직원 · l***** · 상품기획·MD·디자이너 - 2023.09.14",2023.09.14,Rating Score4.0,워라밸은 최고
67,"Verified User
          전직원 · H***** · 마케팅·홍보 전문가 - 2023.09.13",2023.09.13,Rating Score5.0,자유롭고 워라밸 좋은 회사
68,"Verified User
          현직원 · m***** · IT 엔지니어 - 2023.09.11",2023.09.11,Rating Score4.0,워라밸 네임밸류 좋은 회사
69,"Verified User
          현직원 · p***** · IT 엔지니어 - 2023.09.10",2023.09.10,Rating Score3.0,워라밸 끝판왕
70,"Verified User
          현직원 · 프*** · IT 엔지니어 - 2023.09.08",2023.09.08,Rating Score3.0,좋긴 한데 급여만 높다면 더 좋을 텐데
71,"Verified User
          현직원 · I***** · IT 기획·매니지먼트 전문가 - 2023.09.08",2023.09.08,Rating Score5.0,최고의 인턴 경험
72,"Verified User
          현직원 · l******** · 상품기획·MD·디자이너 - 2023.09.07",2023.09.07,Rating Score3.0,재택이 좋았으나..
73,"Verified User
          현직원 · i***** · IT 엔지니어 - 2023.09.05",2023.09.05,Rating Score4.0,임원 빼고 좋음
74,"Verified User
          현직원 · b***** · IT 엔지니어 - 2023.09.05",2023.09.05,Rating Score3.0,워라밸 좋고 동료 좋은데 경영진 망
75,"Verified User
          현직원 · i*** · IT 엔지니어 - 2023.09.04",2023.09.04,Rating Score2.0,침몰하는 배
76,"Verified User
          현직원 · U***** · IT 엔지니어 - 2023.09.04",2023.09.04,Rating Score3.0,시작할 때 대기업 타이틀 달고 시작하긴 좋음
77,"Verified User
          현직원 · i********* · 회계·세무·재무 전문가 - 2023.09.03",2023.09.03,Rating Score1.0,미래가 걱정되는 대표 리스크
78,"Verified User
          현직원 · h***** · 상품기획·MD·디자이너 - 2023.09.03",2023.09.03,Rating Score5.0,귀여운 회사
79,"Verified User
          현직원 · 먹******** · IT 엔지니어 - 2023.09.03",2023.09.03,Rating Score4.0,저물어가는 별
80,"Verified User
          현직원 · ㅋ** · IT 엔지니어 - 2023.09.02",2023.09.02,Rating Score1.0,이미 끝난 회사
81,"Verified User
          현직원 · t***** · IT 엔지니어 - 2023.09.01",2023.09.01,Rating Score4.0,성장할 수 있는 회사
82,"Verified User
          현직원 · V***** · IT 엔지니어 - 2023.08.31",2023.08.31,Rating Score5.0,배울 게 많은 회사
83,"Verified User
          현직원 · J***** · IT 기획·매니지먼트 전문가 - 2023.08.31",2023.08.31,Rating Score4.0,좋은 동료가 많은 회사
84,"Verified User
          현직원 · a***** · IT 엔지니어 - 2023.08.30",2023.08.30,Rating Score3.0,"괜찮았던 복지, 무능한 경영진"
85,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.08.30",2023.08.30,Rating Score3.0,복지는 좋지만 방향성은 모르겠음
86,"Verified User
          현직원 · l******** · 경영전략·사업기획·분석전문가 - 2023.08.27",2023.08.27,Rating Score3.0,간판만 멋있는 회사
87,"Verified User
          현직원 · G***** · IT 기획·매니지먼트 전문가 - 2023.08.26",2023.08.26,Rating Score4.0,복지가 우수한 회사
88,"Verified User
          현직원 · h***** · 경영지원·관리 전문가 - 2023.08.26",2023.08.26,Rating Score5.0,꽤 괜찮은 회사 
89,"Verified User
          현직원 · 9******* · IT 엔지니어 - 2023.08.25",2023.08.25,Rating Score4.0,워라밸은 확실함
90,"Verified User
          현직원 · D***** · IT 엔지니어 - 2023.08.23",2023.08.23,Rating Score4.0,워라밸이 좋은 회사
91,"Verified User
          현직원 · J***** · 마케팅·홍보 전문가 - 2023.08.22",2023.08.22,Rating Score4.0,경영진 빼고 좋음
92,"Verified User
          현직원 · j***** · IT 엔지니어 - 2023.08.21",2023.08.21,Rating Score3.0,사람이 너무 좋은 회사
93,"Verified User
          현직원 · N***** · IT 디자이너 - 2023.08.21",2023.08.21,Rating Score3.0,멀리서 보면 희극 가까이서 보면 비극
94,"Verified User
          현직원 · X***** · 경영전략·사업기획·분석전문가 - 2023.08.21",2023.08.21,Rating Score4.0,워라밸 좋다 기업문화 좋다 그렇지만 업황이 안 좋다
95,"Verified User
          현직원 · y***** · IT 기획·매니지먼트 전문가 - 2023.08.18",2023.08.18,Rating Score4.0,좋은 동료들이 많은 곳 
96,"Verified User
          현직원 · I********* · IT 엔지니어 - 2023.08.18",2023.08.18,Rating Score2.0,추락하는 낙하산 
97,"Verified User
          현직원 · n****** · IT 엔지니어 - 2023.08.16",2023.08.16,Rating Score4.0,대기업
98,"Verified User
          현직원 · Q***** · 경영지원·관리 전문가 - 2023.08.14",2023.08.14,Rating Score3.0,규모 대비 내실은 부족한
99,"Verified User
          현직원 · f***** · 마케팅·홍보 전문가 - 2023.08.12",2023.08.12,Rating Score5.0,워커홀릭이라면 괜찮음
100,"Verified User
          현직원 · n******** · 경영지원·관리 전문가 - 2023.08.11",2023.08.11,Rating Score3.0,갓카오는 아니었다
101,"Verified User
          현직원 · R***** · IT 기획·매니지먼트 전문가 - 2023.08.11",2023.08.11,Rating Score3.0,과거엔 합했으나 이젠 좀..
102,"Verified User
          현직원 · Y***** · 마케팅·홍보 전문가 - 2023.08.11",2023.08.11,Rating Score4.0,워라밸과 복지가 좋은 회사
103,"Verified User
          현직원 · i********* · IT 기획·매니지먼트 전문가 - 2023.08.11",2023.08.11,Rating Score5.0,워라밸은 좋지만 급여가 아쉬움
104,"Verified User
          현직원 · E***** · IT 엔지니어 - 2023.08.10",2023.08.10,Rating Score3.0,경영진이 문제가 많은 회사
