,info,date,rating,title
0,"Verified User
          현직원 · 이***** · 해외영업·사업개발·마케팅 - 2023.11.21",2023.11.21,Rating Score1.0,“하향중”
1,"Verified User
          현직원 · l******** · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score2.0,“능력없는 40대 이상이 주류인 회사”
2,"Verified User
          현직원 · d***** · 경영지원·관리 전문가 - 2023.11.18",2023.11.18,Rating Score5.0,“굿!!”
3,"Verified User
          전직원 · D***** · IT 엔지니어 - 2023.11.18",2023.11.18,Rating Score1.0,“갈라치기 문화의 최고봉”
4,"Verified User
          현직원 · E***** · IT 기획·매니지먼트 전문가 - 2023.11.16",2023.11.16,Rating Score4.0,“워라벨 좋다 ”
5,"Verified User
          현직원 · 회***** · 마케팅·홍보 전문가 - 2023.11.15",2023.11.15,Rating Score3.0,“워라벨은 나쁘지 않음”
6,"Verified User
          현직원 · b********* · IT 엔지니어 - 2023.11.14",2023.11.14,Rating Score3.0,“딱히 하는건 없는 회사 그래서 돈도 그냥 그럼”
7,"Verified User
          현직원 · l******* · 경영지원·관리 전문가 - 2023.11.14",2023.11.14,Rating Score4.0,“팀바팀 업무 강도 및 조직문화 차등”
8,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score3.0,“적당한 급여와 워라밸이 가능하지만 주인이 없는 회사라 방향성이 없는 회사 ”
9,"Verified User
          현직원 · 1***** · 경영전략·사업기획·분석전문가 - 2023.11.05",2023.11.05,Rating Score3.0,“워라밸 좋음”
10,"Verified User
          현직원 · k****** · IT 엔지니어 - 2023.11.04",2023.11.04,Rating Score2.0,“욕심 없고 자기 주장 없으면 다니기 좋은 회사”
11,"Verified User
          현직원 · g***** · 상품기획·MD·디자이너 - 2023.11.02",2023.11.02,Rating Score4.0,“식당밥 좋음”
12,"Verified User
          현직원 · I***** · 경영전략·사업기획·분석전문가 - 2023.10.26",2023.10.26,Rating Score5.0,“타사대비 워라벨 보장됨”
13,"Verified User
          현직원 · N***** · 정보보안·IT보안 - 2023.10.25",2023.10.25,Rating Score3.0,“워라밸이 좋아요”
14,"Verified User
          현직원 · 전** · 경영전략·사업기획·분석전문가 - 2023.10.23",2023.10.23,Rating Score3.0,“위태위태함”
15,"Verified User
          현직원 · n***** · 하드웨어 엔지니어 - 2023.10.17",2023.10.17,Rating Score5.0,“복지좋은 대기업”
16,"Verified User
          현직원 · i******* · 경영전략·사업기획·분석전문가 - 2023.10.17",2023.10.17,Rating Score3.0,“워라벨만 보장되는 문화”
17,"Verified User
          현직원 · T***** · 경영전략·사업기획·분석전문가 - 2023.10.17",2023.10.17,Rating Score4.0,“아쉬운 점이 있지만 종합적으로 보면 좋은 회사”
18,"Verified User
          현직원 · V***** · 경영전략·사업기획·분석전문가 - 2023.10.16",2023.10.16,Rating Score3.0,“부바부지만 워라밸 좋고 복지 좋은데 아쉬운 급여”
19,"Verified User
          현직원 · ï**** · 경영전략·사업기획·분석전문가 - 2023.10.16",2023.10.16,Rating Score3.0,“워라밸은 보장되지만 발전없는 회사”
20,"Verified User
          현직원 · Q***** · 연구개발(R&D) - 2023.10.16",2023.10.16,Rating Score3.0,“워라밸이 나쁘지 않으나 급여가 낮음”
21,"Verified User
          현직원 · f***** · 경영지원·관리 전문가 - 2023.10.15",2023.10.15,Rating Score3.0,"“기회가 많지만, 보수가 아쉬움.”"
22,"Verified User
          현직원 · 점**** · 정보보안·IT보안 - 2023.10.12",2023.10.12,Rating Score3.0,“그냥저냥 다니기 좋은회사”
23,"Verified User
          현직원 · v***** · 해외영업·사업개발·마케팅 - 2023.10.07",2023.10.07,Rating Score3.0,“워라벨만 보장”
24,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.10.06",2023.10.06,Rating Score3.0,“그냥저냥 무난한 회사”
