,info,date,rating,title
0,"Verified User
          현직원 · z***** · 연구개발(R&D) - 2023.11.13",2023.11.13,Rating Score2.0,“숨막히는 군대식 남초회사”
1,"Verified User
          현직원 · J***** · 건설 엔지니어 - 2023.11.21",2023.11.21,Rating Score4.0,“워라벨이 보장되는 회사”
2,"Verified User
          현직원 · u******** · 경영지원·관리 전문가 - 2023.11.20",2023.11.20,Rating Score3.0,“팀바팀..(분당)”
3,"Verified User
          현직원 · g**** · 경영지원·관리 전문가 - 2023.11.20",2023.11.20,Rating Score4.0,“워라벨이 보장되는 회사”
4,"Verified User
          현직원 · 6****** · 생산엔지니어·생산관리 - 2023.11.18",2023.11.18,Rating Score4.0,“국밥같은 회사”
5,"Verified User
          현직원 · l******* · 생산엔지니어·생산관리 - 2023.11.16",2023.11.16,Rating Score4.0,“그냥다닐만함”
6,"Verified User
          현직원 · l**** · 경영지원·관리 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,“워라벨 굳”
7,"Verified User
          현직원 · 필***** · 연구개발(R&D) - 2023.11.10",2023.11.10,Rating Score5.0,“워라벨짱”
8,"Verified User
          현직원 · f********* · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score4.0,“사내 분위기가 좋다”
9,"Verified User
          현직원 · 두***** · 생산엔지니어·생산관리 - 2023.11.05",2023.11.05,Rating Score3.0,“돈은 많이벌게해주는 회사”
10,"Verified User
          현직원 · S***** · 생산엔지니어·생산관리 - 2023.11.04",2023.11.04,Rating Score3.0,“워라밸은 좋으나 체계가 없는 회사”
11,"Verified User
          현직원 · 불****** · 건설 엔지니어 - 2023.10.29",2023.10.29,Rating Score3.0,"“본사만 두산, 현장은....”"
12,"Verified User
          현직원 · O********* · 건설 엔지니어 - 2023.10.29",2023.10.29,Rating Score3.0,“워라벨은 보장되는 장점. 미래가 안보임~”
13,"Verified User
          현직원 · 김** · 생산엔지니어·생산관리 - 2023.10.27",2023.10.27,Rating Score3.0,“그냥 저냥 다니는 회사”
14,"Verified User
          현직원 · j***** · 건설 엔지니어 - 2023.10.27",2023.10.27,Rating Score3.0,“대기업 코스프레 중견기업”
15,"Verified User
          현직원 · F***** · 조선·해양 엔지니어 - 2023.10.22",2023.10.22,Rating Score3.0,“워라벨 확실”
16,"Verified User
          현직원 · H***** · 연구개발(R&D) - 2023.10.19",2023.10.19,Rating Score3.0,“오너 리스크가 큰 기업”
17,"Verified User
          현직원 · P***** · 품질관리·보증 전문가 - 2023.10.16",2023.10.16,Rating Score3.0,“워라벨이 보장되는 회사”
18,"Verified User
          현직원 · I********* · 생산엔지니어·생산관리 - 2023.10.16",2023.10.16,Rating Score2.0,“그냥 붙어서 다니는 회사”
19,"Verified User
          현직원 · p******* · 건설 엔지니어 - 2023.10.15",2023.10.15,Rating Score5.0,“워라벨이 보장됨”
20,"Verified User
          현직원 · 기***** · 연구개발(R&D) - 2023.10.10",2023.10.10,Rating Score3.0,“분당 근무가 가능한 공기업”
21,"Verified User
          현직원 · V***** · 건설 엔지니어 - 2023.10.04",2023.10.04,Rating Score4.0,“워라벨 보장되는 회사”
22,"Verified User
          현직원 · 마** · 하드웨어 엔지니어 - 2023.10.01",2023.10.01,Rating Score2.0,“잘 찾아보면 커리어 향상은 좋을지도”
23,"Verified User
          현직원 · 2*** · 건설 엔지니어 - 2023.09.25",2023.09.25,Rating Score3.0,“급여 및 복지에서 제일 저렴한것 같다”
24,"Verified User
          현직원 · s***** · 생산엔지니어·생산관리 - 2023.09.23",2023.09.23,Rating Score3.0,“그냥 적당한 회사”
25,"Verified User
          현직원 · h***** · 연구개발(R&D) - 2023.09.22",2023.09.22,Rating Score4.0,“워라벨이 보장되는 회사”
26,"Verified User
          전직원 · f***** · 품질관리·보증 전문가 - 2023.09.20",2023.09.20,Rating Score4.0,“굳”
27,"Verified User
          현직원 · B***** · 건설 엔지니어 - 2023.09.18",2023.09.18,Rating Score4.0,“소소한 복지 좋음”
28,"Verified User
          현직원 · H****** · 하드웨어 엔지니어 - 2023.09.17",2023.09.17,Rating Score4.0,“괜찮은 회사”
29,"Verified User
          현직원 · O***** · 건설 엔지니어 - 2023.09.14",2023.09.14,Rating Score3.0,“워라밸 하나는 좋은 회사”
30,"Verified User
          현직원 · v***** · 생산엔지니어·생산관리 - 2023.09.05",2023.09.05,Rating Score5.0,“워라벨 최강”
31,"Verified User
          전직원 · N******* · 연구개발(R&D) - 2023.09.04",2023.09.04,Rating Score4.0,“워라밸 좋은디 급여 졸라 짬”
32,"Verified User
          현직원 · 굳****** · 생산엔지니어·생산관리 - 2023.09.03",2023.09.03,Rating Score3.0,“워라벨은 보장되나 연봉보장은 안됨”
33,"Verified User
          현직원 · M***** · 하드웨어 엔지니어 - 2023.09.02",2023.09.02,Rating Score5.0,“에너지 엔지니어라고 말할 수 있는 기업”
34,"Verified User
          현직원 · d*** · 연구개발(R&D) - 2023.09.02",2023.09.02,Rating Score3.0,"“무능한오너,고인물임원팀장,일안하는HR대환장파티”"
35,"Verified User
          현직원 · y***** · 경영지원·관리 전문가 - 2023.09.01",2023.09.01,Rating Score4.0,“워라벨은 보장됨”
36,"Verified User
          현직원 · N***** · 건설 엔지니어 - 2023.08.31",2023.08.31,Rating Score3.0,“워라벨 찾아서 하면됩니다.”
37,"Verified User
          현직원 · 열**** · 환경·안전·보건 전문가 - 2023.08.29",2023.08.29,Rating Score3.0,“나름 워라밸”
38,"Verified User
          현직원 · O***** · IT 엔지니어 - 2023.08.28",2023.08.28,Rating Score4.0,“워라벨이 보장되는 회사”
39,"Verified User
          현직원 · q***** · 생산엔지니어·생산관리 - 2023.08.28",2023.08.28,Rating Score2.0,“입사를 말리고싶은 회사”
40,"Verified User
          현직원 · 도***** · 품질관리·보증 전문가 - 2023.08.23",2023.08.23,Rating Score4.0,“도산에너빌리티”
41,"Verified User
          현직원 · l********* · 하드웨어 엔지니어 - 2023.08.23",2023.08.23,Rating Score2.0,“불합리가 너무많아”
42,"Verified User
          현직원 · t***** · 연구개발(R&D) - 2023.08.23",2023.08.23,Rating Score3.0,“다들 친절하심”
43,"Verified User
          현직원 · F**** · 생산엔지니어·생산관리 - 2023.08.21",2023.08.21,Rating Score4.0,“워라밸은 최상”
44,"Verified User
          현직원 · i********* · 하드웨어 엔지니어 - 2023.08.20",2023.08.20,Rating Score5.0,“워라밸 워라밸 워라밸”
45,"Verified User
          전직원 · +******* · 건설 엔지니어 - 2023.08.19",2023.08.19,Rating Score2.0,“하루라도 빨리 탈출을 고민해야?”
46,"Verified User
          현직원 · 메*** · 하드웨어 엔지니어 - 2023.08.18",2023.08.18,Rating Score4.0,“워라벨 좋은 회사”
47,"Verified User
          현직원 · l***** · 생산엔지니어·생산관리 - 2023.08.18",2023.08.18,Rating Score4.0,“워라밸이 보장되는 회사”
48,"Verified User
          현직원 · 안******** · 품질관리·보증 전문가 - 2023.08.18",2023.08.18,Rating Score4.0,“워라밸이 아주많이 보장되는 회사”
49,"Verified User
          현직원 · 다** · 환경·안전·보건 전문가 - 2023.08.18",2023.08.18,Rating Score4.0,“윗대가리들때문에 힘든회사”
50,"Verified User
          현직원 · K*** · 품질관리·보증 전문가 - 2023.08.18",2023.08.18,Rating Score3.0,“워라밸은 최고인듯”
51,"Verified User
          현직원 · k******* · 연구개발(R&D) - 2023.08.18",2023.08.18,Rating Score3.0,“워라밸은 보장되는 회사”
52,"Verified User
          현직원 · G***** · 건설 엔지니어 - 2023.08.17",2023.08.17,Rating Score4.0,“워라벨이 보장되는 회사”
53,"Verified User
          현직원 · s***** · 건설 엔지니어 - 2023.08.17",2023.08.17,Rating Score4.0,“워라밸 보장”
54,"Verified User
          현직원 · M***** · 건설 엔지니어 - 2023.08.13",2023.08.13,Rating Score4.0,“워라벨이 보장되는 회사”
55,"Verified User
          현직원 · f***** · 생산엔지니어·생산관리 - 2023.08.12",2023.08.12,Rating Score1.0,“신입들은 쳐다도 보면 안될 회사 커리어 단절 가능 정년 보장 불가능”
56,"Verified User
          현직원 · d******** · 건설 엔지니어 - 2023.08.09",2023.08.09,Rating Score3.0,“워라벨 보장되나 케바케”
57,"Verified User
          현직원 · 타** · 건설 엔지니어 - 2023.08.05",2023.08.05,Rating Score5.0,"“모두가 위기를 헤쳐나가고 싶으나, 쉽지않은 상황임”"
58,"Verified User
          현직원 · 호****** · 생산엔지니어·생산관리 - 2023.08.03",2023.08.03,Rating Score3.0,“복지가 아직까지는 부족한 회사”
59,"Verified User
          현직원 · C*** · 마케팅·홍보 전문가 - 2023.07.28",2023.07.28,Rating Score2.0,“워라벨 갠츈 ”
60,"Verified User
          현직원 · 두****** · 건설 엔지니어 - 2023.07.27",2023.07.27,Rating Score5.0,“수평적 조직문화 및 워라벨”
61,"Verified User
          현직원 · 케*** · 건설 엔지니어 - 2023.07.23",2023.07.23,Rating Score3.0,“아무것도 안할때 효율이 좋은 회사”
62,"Verified User
          전직원 · s***** · 생산엔지니어·생산관리 - 2023.07.23",2023.07.23,Rating Score3.0,“월급 루팡의 천국”
63,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.07.22",2023.07.22,Rating Score4.0,“기술직도 부서따라 다른 회사”
64,"Verified User
          현직원 · N***** · 생산엔지니어·생산관리 - 2023.07.19",2023.07.19,Rating Score4.0,“워라밸은 좋으나 돈은 적음”
65,"Verified User
          현직원 · f******* · 생산엔지니어·생산관리 - 2023.07.17",2023.07.17,Rating Score4.0,“워라벨 짱짱”
66,"Verified User
          현직원 · 진*** · 건설 엔지니어 - 2023.07.16",2023.07.16,Rating Score4.0,“경영진이 말아먹는 회사”
67,"Verified User
          현직원 · t***** · 생산엔지니어·생산관리 - 2023.07.16",2023.07.16,Rating Score4.0,“기술직은 괜찮은 회사?”
68,"Verified User
          현직원 · w***** · 하드웨어 엔지니어 - 2023.07.15",2023.07.15,Rating Score5.0,“워라밸이 보장되는 회사”
69,"Verified User
          전직원 · b***** · 건설 엔지니어 - 2023.07.14",2023.07.14,Rating Score3.0,“돈좀 쓰지”
70,"Verified User
          현직원 · 무***** · 경영지원·관리 전문가 - 2023.07.13",2023.07.13,Rating Score4.0,“사람이 좋은 회사”
71,"Verified User
          현직원 · u***** · 건설 엔지니어 - 2023.07.01",2023.07.01,Rating Score3.0,“워라벨 좋은 회사”
72,"Verified User
          현직원 · k***** · 경영지원·관리 전문가 - 2023.06.28",2023.06.28,Rating Score4.0,“워라밸이 보장되는 회사”
73,"Verified User
          현직원 · 불**** · 연구개발(R&D) - 2023.06.25",2023.06.25,Rating Score3.0,“워라벨 밖에 안남은 회사”
74,"Verified User
          현직원 · f***** · 건설 엔지니어 - 2023.06.23",2023.06.23,Rating Score4.0,“워라벨 보장”
75,"Verified User
          현직원 · 퇴**** · 건설 엔지니어 - 2023.06.22",2023.06.22,Rating Score3.0,“워라벨만 보장되는 회사”
76,"Verified User
          현직원 · 톰***** · 경영전략·사업기획·분석전문가 - 2023.06.21",2023.06.21,Rating Score5.0,“사람들은 좋다”
77,"Verified User
          현직원 · 쉬**** · 건설 엔지니어 - 2023.06.20",2023.06.20,Rating Score4.0,“워라벨은 좋음”
78,"Verified User
          현직원 · f**** · 해외영업·사업개발·마케팅 - 2023.06.18",2023.06.18,Rating Score3.0,“워라벨 최고지만 월급 너무 짬”
79,"Verified User
          현직원 · 그******** · 경영지원·관리 전문가 - 2023.06.07",2023.06.07,Rating Score3.0,“망할 거 같으면서도 안 망하는 회사”
80,"Verified User
          현직원 · l***** · 건설 엔지니어 - 2023.06.06",2023.06.06,Rating Score4.0,“현징직기준 워라벨은 괜찮으나 급여가 적은편”
81,"Verified User
          현직원 · s***** · 경영전략·사업기획·분석전문가 - 2023.05.31",2023.05.31,Rating Score4.0,“워라벨이 보장되는 회사”
82,"Verified User
          현직원 · 가********* · 영업 전문가 - 2023.05.30",2023.05.30,Rating Score3.0,“워라벨 괜차늠”
83,"Verified User
          현직원 · 두****** · 건설 엔지니어 - 2023.05.29",2023.05.29,Rating Score4.0,"“늘 이직을 고민하게하지만, 워라벨 때문에 주저하게되는 회사”"
84,"Verified User
          현직원 · 그***** · 건설 엔지니어 - 2023.05.27",2023.05.27,Rating Score2.0,“미래를 알수없는...”
85,"Verified User
          현직원 · 백** · 건설 엔지니어 - 2023.05.25",2023.05.25,Rating Score4.0,“다 좋은데 약간 노쇠한 회사”
86,"Verified User
          현직원 · j***** · 건설 엔지니어 - 2023.05.23",2023.05.23,Rating Score3.0,“워라벨 보자”
87,"Verified User
          전직원 · 수********* · 연구개발(R&D) - 2023.05.22",2023.05.22,Rating Score3.0,“연봉과 무능한 경영진빼곤 좋은회사”
88,"Verified User
          현직원 · a******** · 건설 엔지니어 - 2023.05.17",2023.05.17,Rating Score3.0,“잔잔한회사”
89,"Verified User
          현직원 · I********* · 건설 엔지니어 - 2023.05.17",2023.05.17,Rating Score3.0,“사회 초년생 돈 적당히 모으기 괜찮은 회사”
90,"Verified User
          현직원 · B***** · IT 기획·매니지먼트 전문가 - 2023.05.16",2023.05.16,Rating Score4.0,“꼰대문화 있는데 타 대기업 대비는 많지 않은?”
91,"Verified User
          현직원 · 문**** · 하드웨어 엔지니어 - 2023.05.14",2023.05.14,Rating Score1.0,“수면아래로 가라 앉고 있음”
92,"Verified User
          현직원 · k**** · 건설 엔지니어 - 2023.05.14",2023.05.14,Rating Score4.0,“팀마다 업무량 차이가 상당한 회사”
93,"Verified User
          현직원 · p***** · 생산엔지니어·생산관리 - 2023.05.14",2023.05.14,Rating Score3.0,“기술직 기준 평가”
94,"Verified User
          현직원 · T***** · 경영지원·관리 전문가 - 2023.05.13",2023.05.13,Rating Score3.0,“워라벨은 없다”
95,"Verified User
          현직원 · q***** · 건설 엔지니어 - 2023.05.13",2023.05.13,Rating Score3.0,“워라밸은 좋은 회사”
96,"Verified User
          현직원 · h****** · 생산엔지니어·생산관리 - 2023.05.02",2023.05.02,Rating Score1.0,“의욕없는 직원들 관심없는 경영진”
97,"Verified User
          현직원 · L***** · 건설 엔지니어 - 2023.04.30",2023.04.30,Rating Score4.0,“전반적으로 다니기 괜찮은 회사”
