,info,date,rating,title
0,"Verified User
          현직원 · q******* · IT 기획·매니지먼트 전문가 - 2023.11.23",2023.11.23,Rating Score3.0,“은행아닌척 하지만 은행인 회사”
1,"Verified User
          현직원 · g***** · 경영전략·사업기획·분석전문가 - 2023.11.23",2023.11.23,Rating Score4.0,“전체적으로 봤을때 금융권에서는 상위권 회사!”
2,"Verified User
          현직원 · r***** · IT 엔지니어 - 2023.11.21",2023.11.21,Rating Score4.0,“업무도 괜찮고 분위기도 나쁘지 않음 최상은 아니지만 상 정도는 됨”
3,"Verified User
          전직원 · 0********* · IT 기획·매니지먼트 전문가 - 2023.11.16",2023.11.16,Rating Score5.0,“워라벨 글쎄”
4,"Verified User
          현직원 · l**** · 금융상담·관리 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,“전반적으로 좋은 회사”
5,"Verified User
          현직원 · j******** · 경영전략·사업기획·분석전문가 - 2023.11.13",2023.11.13,Rating Score4.0,“워라밸이 보장되는 회사”
6,"Verified User
          현직원 · a****** · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score5.0,“뛰어난 동료들이 많은 회사”
7,"Verified User
          현직원 · 플** · IT 엔지니어 - 2023.11.10",2023.11.10,Rating Score5.0,“워라벨이 보장되고 일한만큼 받는회사”
8,"Verified User
          현직원 · e***** · 경영전략·사업기획·분석전문가 - 2023.11.09",2023.11.09,Rating Score4.0,“나쁘지않은 회사”
9,"Verified User
          현직원 · o***** · IT 엔지니어 - 2023.10.29",2023.10.29,Rating Score4.0,“우리팀 기준 워라벨 좋음”
10,"Verified User
          현직원 · e***** · 금융상담·관리 전문가 - 2023.10.27",2023.10.27,Rating Score4.0,“워라벨과 커리어 향상에 좋은 회사”
11,"Verified User
          현직원 · E***** · 경영지원·관리 전문가 - 2023.10.25",2023.10.25,Rating Score5.0,“워라벨이 보장되고 좋음”
12,"Verified User
          전직원 · d******* · 경영지원·관리 전문가 - 2023.10.25",2023.10.25,Rating Score3.0,“자율출퇴근제 잘 활용하면 워라벨 지켜지는 편”
13,"Verified User
          현직원 · F***** · 경영지원·관리 전문가 - 2023.10.23",2023.10.23,Rating Score4.0,“워라벨이 보장되는 회사”
14,"Verified User
          현직원 · j********* · 금융상담·관리 전문가 - 2023.10.22",2023.10.22,Rating Score4.0,“워라밸이 보장되는 회사”
15,"Verified User
          현직원 · 내******** · 정보보안·IT보안 - 2023.10.19",2023.10.19,Rating Score3.0,“같지만 다른 회사”
16,"Verified User
          현직원 · !********* · IT 엔지니어 - 2023.10.17",2023.10.17,Rating Score5.0,“전반적으로는 나쁘지 않은 회사”
17,"Verified User
          현직원 · b***** · 경영지원·관리 전문가 - 2023.10.16",2023.10.16,Rating Score5.0,“힘들땐 예전 회사 생각을 해봅니다”
18,"Verified User
          현직원 · J***** · 금융상담·관리 전문가 - 2023.10.16",2023.10.16,Rating Score3.0,“워라밸 보장”
19,"Verified User
          현직원 · t**** · IT 기획·매니지먼트 전문가 - 2023.10.13",2023.10.13,Rating Score5.0,“멋지고 유쾌한 동료들”
20,"Verified User
          현직원 · b********* · 고객서비스 전문가 - 2023.10.12",2023.10.12,Rating Score3.0,“워라밸 좋은 부서가면 꿀”
21,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.10.11",2023.10.11,Rating Score4.0,“음냐음냐음냐”
22,"Verified User
          현직원 · K***** · 고객서비스 전문가 - 2023.10.06",2023.10.06,Rating Score5.0,“최고의 워라벨 보장”
23,"Verified User
          현직원 · w***** · IT 엔지니어 - 2023.10.05",2023.10.05,Rating Score1.0,“복지 연봉은 좋지만 문화는.....”
24,"Verified User
          현직원 · l******** · 경영전략·사업기획·분석전문가 - 2023.10.05",2023.10.05,Rating Score5.0,"“워라벨 보장, 똑똑한 동료, 성장하려는 기업 문화 ”"
25,"Verified User
          현직원 · 룰*** · IT 기획·매니지먼트 전문가 - 2023.09.29",2023.09.29,Rating Score4.0,“워라밸은 좋지만 업무적인 성장 가능성은 그닥”
26,"Verified User
          현직원 · o***** · IT 기획·매니지먼트 전문가 - 2023.09.25",2023.09.25,Rating Score4.0,“워라벨 괜찮고 분위기는 부바부”
27,"Verified User
          현직원 · Q***** · 경영전략·사업기획·분석전문가 - 2023.09.21",2023.09.21,Rating Score4.0,“경영진의답답함만 빼면 좋은회시”
