,info,date,rating,title
0,"Verified User
          현직원 · h***** · 경영지원·관리 전문가 - 2023.11.24",2023.11.24,Rating Score2.0,“워라벨이보장되는회사”
1,"Verified User
          현직원 · 또******* · 품질관리·보증 전문가 - 2023.11.26",2023.11.26,Rating Score5.0,“외부에서는 알아주는 회사”
2,"Verified User
          현직원 · e****** · 생산엔지니어·생산관리 - 2023.11.18",2023.11.18,Rating Score4.0,“워라밸은 보장되는회사”
3,"Verified User
          현직원 · g***** · 생산엔지니어·생산관리 - 2023.11.16",2023.11.16,Rating Score3.0,“워라벨은 좋은회사”
4,"Verified User
          현직원 · i******* · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score4.0,“연구직 굳굳”
5,"Verified User
          현직원 · 세**** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score4.0,“젊은분위기이지만 정치질이 심함”
6,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.11.08",2023.11.08,Rating Score2.0,“업계 최하수준 급여”
7,"Verified User
          현직원 · T***** · 생산엔지니어·생산관리 - 2023.11.04",2023.11.04,Rating Score4.0,“고초대졸 다니기 좋은회사”
8,"Verified User
          현직원 · y***** · 생산엔지니어·생산관리 - 2023.10.31",2023.10.31,Rating Score5.0,“자유로운 사내 분위기”
9,"Verified User
          현직원 · u***** · 정보보안·IT보안 - 2023.10.30",2023.10.30,Rating Score4.0,“업계를 배울 수 있지만 주는만큼 뽑아내는 회사”
10,"Verified User
          현직원 · d***** · 구매·물류·SCM 전문가 - 2023.10.30",2023.10.30,Rating Score3.0,“딱히 큰 좋은점이 없는 곳”
11,"Verified User
          현직원 · A***** · 구매·물류·SCM 전문가 - 2023.10.24",2023.10.24,Rating Score4.0,“일관된 체계가 필요한 회사”
12,"Verified User
          현직원 · O***** · 법무·지적재산권 전문가 - 2023.10.24",2023.10.24,Rating Score3.0,“그냥 다닐만한 회사”
13,"Verified User
          현직원 · h******* · 경영지원·관리 전문가 - 2023.10.20",2023.10.20,Rating Score3.0,“의외로 매우 경직된 조직문화에 놀라게되는 회사”
14,"Verified User
          현직원 · r***** · 품질관리·보증 전문가 - 2023.10.19",2023.10.19,Rating Score4.0,“사내문화 팀원들은 최고”
15,"Verified User
          현직원 · S***** · 연구개발(R&D) - 2023.10.19",2023.10.19,Rating Score3.0,"“워라밸, 복지 없는 회사”"
16,"Verified User
          현직원 · q********* · 품질관리·보증 전문가 - 2023.10.16",2023.10.16,Rating Score2.0,“소모품”
17,"Verified User
          현직원 · i***** · 경영지원·관리 전문가 - 2023.10.14",2023.10.14,Rating Score2.0,“워라밸을 생각한다면 나름 다닐만 함. 고여있고 싶으면 강추하는 곳. 거지같은 기업문화와 강압적인 분위기를 견뎌야한다는  조건이 있음.”
18,"Verified User
          현직원 · w***** · 연구개발(R&D) - 2023.10.10",2023.10.10,Rating Score4.0,"“급여는 좋으나, 스트레스가 많은 회사”"
19,"Verified User
          현직원 · C***** · 품질관리·보증 전문가 - 2023.10.09",2023.10.09,Rating Score4.0,“나쁘지 않은 회사”
20,"Verified User
          현직원 · f***** · 생산엔지니어·생산관리 - 2023.10.09",2023.10.09,Rating Score4.0,“적당히 좋은 회사”
21,"Verified User
          현직원 · 모***** · 구매·물류·SCM 전문가 - 2023.10.08",2023.10.08,Rating Score4.0,“회사의 비전 및 보상이 훌륭함 ”
22,"Verified User
          현직원 · i******** · 생산엔지니어·생산관리 - 2023.09.30",2023.09.30,Rating Score5.0,“밥 잘나오는 회사”
23,"Verified User
          현직원 · l******** · 구매·물류·SCM 전문가 - 2023.09.23",2023.09.23,Rating Score4.0,“무난히 좋은 회사”
24,"Verified User
          현직원 · d***** · 연구개발(R&D) - 2023.09.22",2023.09.22,Rating Score4.0,“바이오 제약 업계 최고의 회사”
25,"Verified User
          현직원 · 알****** · 연구개발(R&D) - 2023.09.17",2023.09.17,Rating Score3.0,“겪어보면 복지가 짠곳 ”
26,"Verified User
          현직원 · p***** · 연구개발(R&D) - 2023.09.13",2023.09.13,Rating Score3.0,“멘탈관리 잘한다면 괜찮은 회사”
27,"Verified User
          현직원 · 토********* · 건설 엔지니어 - 2023.09.10",2023.09.10,Rating Score1.0,“운명을 다한 회사”
28,"Verified User
          현직원 · R***** · 품질관리·보증 전문가 - 2023.09.04",2023.09.04,Rating Score3.0,“직원의 소중함을 모름”
29,"Verified User
          현직원 · i******** · 품질관리·보증 전문가 - 2023.09.04",2023.09.04,Rating Score2.0,“윗선에서 뭘 하는지 모르는 회사”
30,"Verified User
          현직원 · s******* · 환경·안전·보건 전문가 - 2023.09.04",2023.09.04,Rating Score4.0,“좋은사람들은 많음”
31,"Verified User
          현직원 · l******** · 연구개발(R&D) - 2023.08.31",2023.08.31,Rating Score2.0,“대우 출신들이 경영하는 대우 문화로 돌아가고있는 회사”
32,"Verified User
          전직원 · a******** · 생산엔지니어·생산관리 - 2023.08.31",2023.08.31,Rating Score3.0,"“워라밸이 좋음. 분위기,연봉은 글쎄”"
33,"Verified User
          현직원 · L***** · 경영지원·관리 전문가 - 2023.08.30",2023.08.30,Rating Score5.0,“정말오고싶던회사”
34,"Verified User
          현직원 · 집******* · 연구개발(R&D) - 2023.08.24",2023.08.24,Rating Score3.0,“사내문회사 좀 개선되었으면”
35,"Verified User
          현직원 · R******** · 구매·물류·SCM 전문가 - 2023.08.21",2023.08.21,Rating Score2.0,“진취적이지 못한 회사”
36,"Verified User
          현직원 · B***** · 연구개발(R&D) - 2023.08.14",2023.08.14,Rating Score4.0,“젊은회사 꼰대문화”
37,"Verified User
          현직원 · V***** · 경영지원·관리 전문가 - 2023.08.12",2023.08.12,Rating Score3.0,“힘들지만 와볼만함”
38,"Verified User
          현직원 · l***** · 생산엔지니어·생산관리 - 2023.08.12",2023.08.12,Rating Score4.0,“바이오 업계 상위 연봉 ”
39,"Verified User
          현직원 · c***** · 연구개발(R&D) - 2023.08.10",2023.08.10,Rating Score3.0,“커리어 쌓기 좋은 회사”
40,"Verified User
          현직원 · ㅊ**** · 품질관리·보증 전문가 - 2023.08.10",2023.08.10,Rating Score4.0,“ 좋은 회사”
41,"Verified User
          현직원 · l******* · 연구개발(R&D) - 2023.08.08",2023.08.08,Rating Score5.0,“연봉이 괜찮음”
42,"Verified User
          현직원 · 저**** · 생산엔지니어·생산관리 - 2023.08.07",2023.08.07,Rating Score3.0,“이젠 더이상 특별하지 않은 회사”
43,"Verified User
          현직원 · I***** · 연구개발(R&D) - 2023.08.05",2023.08.05,Rating Score4.0,“그래도 동종업계에서 탑급”
44,"Verified User
          현직원 · 역*** · 생산엔지니어·생산관리 - 2023.07.31",2023.07.31,Rating Score4.0,“복지는 중소보단 낫고 대기업이라고 하기엔 아쉬운”
45,"Verified User
          현직원 · 꼴***** · 생산엔지니어·생산관리 - 2023.07.30",2023.07.30,Rating Score4.0,“남에게 잘보이기 좋은회사”
46,"Verified User
          현직원 · 도***** · 생산엔지니어·생산관리 - 2023.07.28",2023.07.28,Rating Score3.0,“공부하기 좋은 회사”
47,"Verified User
          현직원 · g**** · 연구개발(R&D) - 2023.07.25",2023.07.25,Rating Score2.0,“처음 일 배우기 좋은 곳”
48,"Verified User
          현직원 · I***** · 연구개발(R&D) - 2023.07.23",2023.07.23,Rating Score4.0,“워라밸과 상위 연봉이 보장되는회사”
49,"Verified User
          현직원 · j******** · 품질관리·보증 전문가 - 2023.07.20",2023.07.20,Rating Score3.0,“경영진을 바꿔야 할 때”
50,"Verified User
          현직원 · R***** · 품질관리·보증 전문가 - 2023.07.20",2023.07.20,Rating Score3.0,“시간이 갈수록 포기하게 되는 곳”
51,"Verified User
          현직원 · h********* · 연구개발(R&D) - 2023.07.19",2023.07.19,Rating Score2.0,“갈수록 퇴보하는 회사”
52,"Verified User
          현직원 · n***** · 생산엔지니어·생산관리 - 2023.07.18",2023.07.18,Rating Score4.0,“배울 것이 많고 사람들 좋은 회사”
53,"Verified User
          현직원 · m******* · 생산엔지니어·생산관리 - 2023.07.17",2023.07.17,Rating Score3.0,“괜찮은 회사”
54,"Verified User
          현직원 · x**** · 품질관리·보증 전문가 - 2023.07.16",2023.07.16,Rating Score3.0,“한국회사”
55,"Verified User
          현직원 · D***** · 생산엔지니어·생산관리 - 2023.07.14",2023.07.14,Rating Score4.0,“나쁘지않음”
56,"Verified User
          현직원 · 5**** · 품질관리·보증 전문가 - 2023.07.13",2023.07.13,Rating Score2.0,“시대를 역행하는 회사”
57,"Verified User
          현직원 · I******** · 품질관리·보증 전문가 - 2023.07.12",2023.07.12,Rating Score4.0,“무신사 골드회원 가능”
58,"Verified User
          현직원 · j***** · 생산엔지니어·생산관리 - 2023.07.12",2023.07.12,Rating Score4.0,“복지 및 워라밸이 좋은 회사”
59,"Verified User
          현직원 · m***** · 연구개발(R&D) - 2023.07.11",2023.07.11,Rating Score4.0,“개인 능력 신장이 가능한 회사”
60,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.07.10",2023.07.10,Rating Score5.0,“커리어 쌓기 좋고 젊은 회사”
61,"Verified User
          현직원 · j***** · 해외영업·사업개발·마케팅 - 2023.07.09",2023.07.09,Rating Score2.0,“연봉은 괜찮지만 워라벨은...”
62,"Verified User
          현직원 · o******** · 고객서비스 전문가 - 2023.07.09",2023.07.09,Rating Score5.0,“너무좋아용”
63,"Verified User
          현직원 · h******* · 생산엔지니어·생산관리 - 2023.07.08",2023.07.08,Rating Score4.0,“팀 분위기 좋음”
64,"Verified User
          현직원 · ㅣ******** · 생산엔지니어·생산관리 - 2023.07.07",2023.07.07,Rating Score5.0,“좋은 회사지만 더 발전할 수 있을 것 같음”
65,"Verified User
          현직원 · I********* · 생산엔지니어·생산관리 - 2023.07.07",2023.07.07,Rating Score3.0,“그냥 그럼”
66,"Verified User
          현직원 · l******** · 품질관리·보증 전문가 - 2023.07.06",2023.07.06,Rating Score4.0,“업무강도 매우높음”
67,"Verified User
          현직원 · l******** · 연구개발(R&D) - 2023.06.30",2023.06.30,Rating Score2.0,“경력 쌓고 이직하는 회사”
68,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.06.28",2023.06.28,Rating Score3.0,"“워라밸 좋음, 급여는 쏘쏘, 복지는 아쉽, 경영진은 매우아쉽”"
69,"Verified User
          현직원 · y***** · 생산엔지니어·생산관리 - 2023.06.27",2023.06.27,Rating Score3.0,“알바로 다니기 괜찮음”
70,"Verified User
          현직원 · o******* · 품질관리·보증 전문가 - 2023.06.23",2023.06.23,Rating Score2.0,“복지가 탄탄한 회사”
71,"Verified User
          현직원 · a******** · 품질관리·보증 전문가 - 2023.06.19",2023.06.19,Rating Score1.0,“발전을 모르는 노답회사”
72,"Verified User
          현직원 · b******** · 연구개발(R&D) - 2023.06.18",2023.06.18,Rating Score1.0,“셀트사관학교”
73,"Verified User
          현직원 · 셀*** · 생산엔지니어·생산관리 - 2023.06.18",2023.06.18,Rating Score4.0,“성장하기 좋은 회사”
74,"Verified User
          현직원 · F***** · 생산엔지니어·생산관리 - 2023.06.16",2023.06.16,Rating Score4.0,“배울기회가 많은 회사”
75,"Verified User
          현직원 · 셀*** · 경영지원·관리 전문가 - 2023.06.16",2023.06.16,Rating Score1.0,“고인물과 꼰대가 넘치는 개노답 회사”
76,"Verified User
          현직원 · 바******** · 연구개발(R&D) - 2023.06.15",2023.06.15,Rating Score4.0,“그냥 좋지도 나쁘지도 않음”
