,info,date,rating,title
0,"Verified User
          현직원 · I******** · 연구개발(R&D) - 2023.10.01",2023.10.01,Rating Score2.0,“기회가 불공평한회사”
1,"Verified User
          현직원 · o***** · 환경·안전·보건 전문가 - 2023.11.27",2023.11.27,Rating Score5.0,“좋은 회사입니다.”
2,"Verified User
          현직원 · a******* · 생산엔지니어·생산관리 - 2023.11.26",2023.11.26,Rating Score5.0,“앞으로가 기대되는 회사”
3,"Verified User
          현직원 · L***** · 생산엔지니어·생산관리 - 2023.11.23",2023.11.23,Rating Score3.0,“네임벨류에 맞게 처우 해주는 회사”
4,"Verified User
          현직원 · Y***** · 연구개발(R&D) - 2023.11.22",2023.11.22,Rating Score4.0,“괜찮은 회사임”
5,"Verified User
          현직원 · k***** · 연구개발(R&D) - 2023.11.18",2023.11.18,Rating Score5.0,“삼성그룹중 욕심없이 다닐 수 있음”
6,"Verified User
          현직원 · F***** · 생산엔지니어·생산관리 - 2023.11.18",2023.11.18,Rating Score3.0,“괜찮은 회사”
7,"Verified User
          현직원 · I********* · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score4.0,“워라벨하면 전기!”
8,"Verified User
          현직원 · 둉** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score4.0,“부산에서 좋은회사에 속함”
9,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score3.0,“럭키 중견기업”
10,"Verified User
          현직원 · j******* · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score3.0,“부서에 따라 워라벨 극과극인 회사”
11,"Verified User
          현직원 · 퇴****** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score1.0,“부바부가 너무 심한 회사”
12,"Verified User
          현직원 · 신*** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score4.0,“복지 좋은 회사”
13,"Verified User
          현직원 · l******* · 하드웨어 엔지니어 - 2023.11.06",2023.11.06,Rating Score5.0,“그냥 보통 대기업”
14,"Verified User
          현직원 · d******** · 연구개발(R&D) - 2023.11.01",2023.11.01,Rating Score5.0,“부신에서 다니기 좋은 회사”
15,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.10.31",2023.10.31,Rating Score1.0,“워라밸이 미친듯이 복불복인 회사”
16,"Verified User
          현직원 · c***** · 연구개발(R&D) - 2023.10.29",2023.10.29,Rating Score4.0,“전반적으로는 워라벨 좋다고 생각함”
17,"Verified User
          현직원 · p********* · 경영전략·사업기획·분석전문가 - 2023.10.29",2023.10.29,Rating Score3.0,“장점도 단점도 튀지않는 회사”
18,"Verified User
          현직원 · 일********* · IT 엔지니어 - 2023.10.27",2023.10.27,Rating Score5.0,“짤리진 않는회사”
19,"Verified User
          현직원 · h**** · 품질관리·보증 전문가 - 2023.10.25",2023.10.25,Rating Score4.0,“부바부있음”
20,"Verified User
          현직원 · 쿠*** · 생산엔지니어·생산관리 - 2023.10.22",2023.10.22,Rating Score3.0,“그냥 저냥 다닐만한 회사”
21,"Verified User
          현직원 · y***** · 연구개발(R&D) - 2023.10.19",2023.10.19,Rating Score4.0,“비전없는 임원진 but 욕심버리면 좋은회사”
