,info,date,rating,title
0,"Verified User
          현직원 · 헌* · 연구개발(R&D) - 2023.11.24",2023.11.24,Rating Score2.0,“워라밸 밖에 남지 않은 회사”
1,"Verified User
          현직원 · l********* · 연구개발(R&D) - 2023.11.28",2023.11.28,Rating Score1.0,“갑질이 피곤한 회사”
2,"Verified User
          현직원 · 빌** · 연구개발(R&D) - 2023.11.25",2023.11.25,Rating Score3.0,“욕심없이 다니면 이보다 좋을 수도 없는 회사”
3,"Verified User
          현직원 · g***** · 연구개발(R&D) - 2023.11.24",2023.11.24,Rating Score4.0,“워라밸 최상”
4,"Verified User
          현직원 · r***** · 환경·안전·보건 전문가 - 2023.11.22",2023.11.22,Rating Score4.0,“사내문화랑 워라벨 굿”
5,"Verified User
          현직원 · r********* · IT 엔지니어 - 2023.11.20",2023.11.20,Rating Score4.0,“부바부가 큰 회사”
6,"Verified User
          현직원 · P***** · 품질관리·보증 전문가 - 2023.11.19",2023.11.19,Rating Score4.0,“다니기 좋은 회사”
7,"Verified User
          현직원 · 현****** · 연구개발(R&D) - 2023.11.19",2023.11.19,Rating Score5.0,“대기업중 워라밸 쪽으로는 탑”
8,"Verified User
          현직원 · j********* · 경영지원·관리 전문가 - 2023.11.16",2023.11.16,Rating Score4.0,“적당히 좋음”
9,"Verified User
          현직원 · 나********* · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score4.0,“워라밸밖에 볼게 없는 회사”
10,"Verified User
          현직원 · M***** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score3.0,“연구원이 다니기 좋은회사”
11,"Verified User
          현직원 · i***** · 연구개발(R&D) - 2023.11.13",2023.11.13,Rating Score4.0,“워라벨은 좋은 그냥저냥 회사”
12,"Verified User
          현직원 · c******** · 하드웨어 엔지니어 - 2023.11.11",2023.11.11,Rating Score5.0,“직장내 분위기가 좋은 회사”
13,"Verified User
          현직원 · 무***** · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score4.0,“역시 대기업”
14,"Verified User
          현직원 · j****** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score4.0,“뭐든 만족한 회사”
15,"Verified User
          현직원 · 뽕*** · IT 엔지니어 - 2023.11.09",2023.11.09,Rating Score5.0,“워라밸 좋고 연봉도 좋음”
16,"Verified User
          현직원 · 모**** · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score5.0,“좋은 회사 입니다”
17,"Verified User
          현직원 · n***** · 구매·물류·SCM 전문가 - 2023.11.08",2023.11.08,Rating Score3.0,“워라밸 보장”
18,"Verified User
          현직원 · l********* · 연구개발(R&D) - 2023.11.07",2023.11.07,Rating Score5.0,“워라벨이 좋고 사람 좋은 회사”
19,"Verified User
          현직원 · t***** · IT 엔지니어 - 2023.11.05",2023.11.05,Rating Score3.0,"“커리어무덤, 조직문화 하”"
20,"Verified User
          현직원 · !******* · 연구개발(R&D) - 2023.11.05",2023.11.05,Rating Score5.0,“워라벨 돈 복지 다 좋다”
21,"Verified User
          현직원 · ‼ · IT 엔지니어 - 2023.11.03",2023.11.03,Rating Score4.0,“워라밸만 보장”
22,"Verified User
          현직원 · y***** · 연구개발(R&D) - 2023.11.03",2023.11.03,Rating Score3.0,“모무원”
23,"Verified User
          현직원 · C******* · 연구개발(R&D) - 2023.11.03",2023.11.03,Rating Score4.0,“워라벨 좋고 돈도 괜찮음”
24,"Verified User
          현직원 · 모*** · 구매·물류·SCM 전문가 - 2023.11.01",2023.11.01,Rating Score5.0,“워라밸 보장 주간근무 높은연봉”
25,"Verified User
          현직원 · l********* · 연구개발(R&D) - 2023.10.31",2023.10.31,Rating Score5.0,“워라벨좋고 전문성쌓을수있음”
26,"Verified User
          현직원 · z******* · 연구개발(R&D) - 2023.10.31",2023.10.31,Rating Score3.0,“좋아요”
27,"Verified User
          현직원 · C***** · 연구개발(R&D) - 2023.10.31",2023.10.31,Rating Score2.0,“워라벨끝”
28,"Verified User
          현직원 · W***** · 경영전략·사업기획·분석전문가 - 2023.10.30",2023.10.30,Rating Score4.0,“복지는 나음 좋은 회사”
29,"Verified User
          현직원 · E***** · 연구개발(R&D) - 2023.10.30",2023.10.30,Rating Score5.0,“워라밸이 보장됨”
30,"Verified User
          현직원 · h****** · 연구개발(R&D) - 2023.10.30",2023.10.30,Rating Score1.0,“사람 좋아서 다닙니다.”
31,"Verified User
          현직원 · B***** · 생산엔지니어·생산관리 - 2023.10.29",2023.10.29,Rating Score4.0,“엔지니어가 아닌 관리자로 자리매김하는 회사”
32,"Verified User
          현직원 · w***** · 연구개발(R&D) - 2023.10.28",2023.10.28,Rating Score5.0,“확실한 워라밸 보장”
33,"Verified User
          현직원 · s******* · IT 엔지니어 - 2023.10.28",2023.10.28,Rating Score3.0,“워라밸이 보장되는 회사”
34,"Verified User
          현직원 · v***** · 경영지원·관리 전문가 - 2023.10.28",2023.10.28,Rating Score5.0,“도전이 필요하고 장려하는 회사”
35,"Verified User
          현직원 · w******* · 연구개발(R&D) - 2023.10.27",2023.10.27,Rating Score3.0,“워라벨은 보장 됩니다”
