,info,date,rating,title
0,"Verified User
          현직원 · q********* · 생산엔지니어·생산관리 - 2023.11.25",2023.11.25,Rating Score2.0,“한 사람이 다섯사람의 일은 해야하는 곳”
1,"Verified User
          전직원 · 꼬**** · 생산엔지니어·생산관리 - 2023.11.25",2023.11.25,Rating Score4.0,“세계1위 비철금속 회사 고려아연”
2,"Verified User
          현직원 · z**** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score3.0,“업무 능력이 향상되는 회사”
3,"Verified User
          현직원 · 민********* · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score2.0,“노동가치를 인정하지 않는 기업”
4,"Verified User
          현직원 · I***** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score4.0,“중간은 하는 회사”
5,"Verified User
          현직원 · m******* · 생산엔지니어·생산관리 - 2023.11.06",2023.11.06,Rating Score4.0,“다양한 경험 가능”
6,"Verified User
          현직원 · d******* · 경영지원·관리 전문가 - 2023.11.03",2023.11.03,Rating Score1.0,“근로자 한테는 미래가 없는 회사”
7,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.11.01",2023.11.01,Rating Score4.0,“워라밸이 보장되는 회사”
8,"Verified User
          현직원 · 고**** · 경영지원·관리 전문가 - 2023.10.28",2023.10.28,Rating Score4.0,“워라벨 적절한 나름 합리적인 회사”
9,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.10.23",2023.10.23,Rating Score1.0,“임원왕국”
10,"Verified User
          현직원 · l******** · 생산엔지니어·생산관리 - 2023.10.18",2023.10.18,Rating Score4.0,“거대한 규모의 직업훈련소”
11,"Verified User
          현직원 · E***** · 경영지원·관리 전문가 - 2023.10.17",2023.10.17,Rating Score4.0,“마 고삼동풍이다 아이가”
12,"Verified User
          현직원 · 짜*** · 건설 엔지니어 - 2023.10.16",2023.10.16,Rating Score2.0,“1인 3인분 할 각오는 돼있나?”
13,"Verified User
          현직원 · 1******** · 해외영업·사업개발·마케팅 - 2023.10.16",2023.10.16,Rating Score3.0,“가늘고 길게”
14,"Verified User
          현직원 · n*** · 경영전략·사업기획·분석전문가 - 2023.10.13",2023.10.13,Rating Score5.0,“안정적이고 비전있는회사”
15,"Verified User
          현직원 · 뿌** · IT 기획·매니지먼트 전문가 - 2023.10.13",2023.10.13,Rating Score4.0,“워라벨이 보장되는 회사”
16,"Verified User
          현직원 · 해***** · 건설 엔지니어 - 2023.10.11",2023.10.11,Rating Score3.0,“회사는 좋으나 어려운 직업”
17,"Verified User
          현직원 · k******** · 경영지원·관리 전문가 - 2023.10.08",2023.10.08,Rating Score3.0,“일하는이 안하는이 구별되고 대우는 불평등”
18,"Verified User
          현직원 · a******** · 환경·안전·보건 전문가 - 2023.10.01",2023.10.01,Rating Score3.0,“대기업이지만  그만큼  보상 없는 회사”
19,"Verified User
          현직원 · g***** · 경영지원·관리 전문가 - 2023.09.28",2023.09.28,Rating Score4.0,“계속 좋아지는 회사”
20,"Verified User
          현직원 · U***** · 환경·안전·보건 전문가 - 2023.09.27",2023.09.27,Rating Score3.0,“뭔가 좀 아주 많이 아쉬운 회사”
21,"Verified User
          현직원 · i********* · 회계·세무·재무 전문가 - 2023.09.27",2023.09.27,Rating Score4.0,“사무직들은 다니기 좋은 회사”
22,"Verified User
          현직원 · q********* · 생산엔지니어·생산관리 - 2023.09.23",2023.09.23,Rating Score3.0,"“겉과 속이 다른 회사(외부에서의 이미지, 내부에서 직원들이 느끼는것)”"
23,"Verified User
          현직원 · h******* · 환경·안전·보건 전문가 - 2023.09.19",2023.09.19,Rating Score5.0,“커리어 향상에는 최고”
24,"Verified User
          현직원 · D***** · 품질관리·보증 전문가 - 2023.09.18",2023.09.18,Rating Score4.0,“망할 일은 없는 회사”
25,"Verified User
          현직원 · T***** · 경영지원·관리 전문가 - 2023.09.16",2023.09.16,Rating Score3.0,“죽어라 일해야함”
26,"Verified User
          현직원 · c**** · 생산엔지니어·생산관리 - 2023.09.15",2023.09.15,Rating Score5.0,“안정성이 보장되는 회사”
27,"Verified User
          현직원 · 1********* · 해외영업·사업개발·마케팅 - 2023.09.13",2023.09.13,Rating Score4.0,“무난의 극치”
28,"Verified User
          현직원 · u***** · 생산엔지니어·생산관리 - 2023.09.12",2023.09.12,Rating Score4.0,“점점 나아지는 회사”
29,"Verified User
          현직원 · 젊** · 건설 엔지니어 - 2023.09.09",2023.09.09,Rating Score5.0,“미래가치잇는회사”
30,"Verified User
          현직원 · n***** · 구매·물류·SCM 전문가 - 2023.08.29",2023.08.29,Rating Score5.0,“워라벨이 보장됨”
31,"Verified User
          현직원 · 징******** · 연구개발(R&D) - 2023.08.22",2023.08.22,Rating Score3.0,“돈을 잘 안뿌리는 회사”
32,"Verified User
          현직원 · y***** · 경영지원·관리 전문가 - 2023.08.18",2023.08.18,Rating Score4.0,“노는 사람과 일하는 사람이 분명한 회사”
33,"Verified User
          현직원 · 뾩 · 생산엔지니어·생산관리 - 2023.08.17",2023.08.17,Rating Score4.0,“회사만 잘나가는”
34,"Verified User
          현직원 · W***** · 연구개발(R&D) - 2023.08.15",2023.08.15,Rating Score5.0,“전망이 좋은 회사”
35,"Verified User
          현직원 · o******** · 생산엔지니어·생산관리 - 2023.08.12",2023.08.12,Rating Score3.0,“그래도 다닐만한 회사”
36,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.07.31",2023.07.31,Rating Score4.0,“매년 문화발전을 이룩하는 회사”
37,"Verified User
          현직원 · l********* · 건설 엔지니어 - 2023.07.30",2023.07.30,Rating Score4.0,“주변환경 적응힘듬”
38,"Verified User
          현직원 · 미**** · 환경·안전·보건 전문가 - 2023.07.26",2023.07.26,Rating Score3.0,“기업 이미지에만 올인한 회사”
39,"Verified User
          현직원 · 물******* · 생산엔지니어·생산관리 - 2023.07.21",2023.07.21,Rating Score3.0,"“안정적인, 그러나 많은 변화가 필요한 회사”"
40,"Verified User
          현직원 · i***** · 생산엔지니어·생산관리 - 2023.07.20",2023.07.20,Rating Score4.0,“부바부 팀바팀이나 전반적으로 나쁘지는 않음”
41,"Verified User
          현직원 · g***** · 생산엔지니어·생산관리 - 2023.07.16",2023.07.16,Rating Score3.0,“평가가 제대로 이루어지지 않는 회사”
42,"Verified User
          현직원 · P***** · IT 엔지니어 - 2023.06.29",2023.06.29,Rating Score4.0,“적당히 좋은회사”
43,"Verified User
          현직원 · !****** · 생산엔지니어·생산관리 - 2023.06.26",2023.06.26,Rating Score4.0,“좋은데 아쉬움이 많은 곳”
44,"Verified User
          현직원 · j******** · 품질관리·보증 전문가 - 2023.06.18",2023.06.18,Rating Score1.0,“꼰대문화”
45,"Verified User
          현직원 · y***** · 생산엔지니어·생산관리 - 2023.06.14",2023.06.14,Rating Score3.0,“돈과 복지 반비례”
46,"Verified User
          현직원 · ㆍ***** · 생산엔지니어·생산관리 - 2023.06.13",2023.06.13,Rating Score3.0,“망하지는 않는 회사”
47,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.06.03",2023.06.03,Rating Score1.0,“아쉬우면서도 만족하며 다닐 수 있는 공장”
48,"Verified User
          현직원 · 팰** · 생산엔지니어·생산관리 - 2023.06.02",2023.06.02,Rating Score2.0,“친척 지인들의 천국”
49,"Verified User
          현직원 · h***** · 경영지원·관리 전문가 - 2023.06.01",2023.06.01,Rating Score5.0,“최고의 회사”
50,"Verified User
          현직원 · 행***** · 생산엔지니어·생산관리 - 2023.05.27",2023.05.27,Rating Score5.0,“사람 좋은 회사”
51,"Verified User
          현직원 · Y***** · 생산엔지니어·생산관리 - 2023.05.21",2023.05.21,Rating Score3.0,“생산관리직무 워리밸 포기”
52,"Verified User
          현직원 · i********* · 건설 엔지니어 - 2023.05.16",2023.05.16,Rating Score3.0,“돈은 만이 주는듯”
53,"Verified User
          현직원 · s***** · 경영지원·관리 전문가 - 2023.05.15",2023.05.15,Rating Score2.0,“업무량 및 업무강도 최상 극보수”
54,"Verified User
          현직원 · b******** · 생산엔지니어·생산관리 - 2023.05.14",2023.05.14,Rating Score3.0,“고삼동풍의 첫째 하지만..”
55,"Verified User
          현직원 · f***** · 연구개발(R&D) - 2023.05.09",2023.05.09,Rating Score4.0,“비전은 있지만 임직원에게 돈 안쓰는 회사”
56,"Verified User
          현직원 · 에**** · IT 엔지니어 - 2023.05.03",2023.05.03,Rating Score5.0,“위치 좋은 회사”
57,"Verified User
          현직원 · h***** · 건설 엔지니어 - 2023.05.01",2023.05.01,Rating Score4.0,“급여가 좋아요”
58,"Verified User
          현직원 · 닝**** · 생산엔지니어·생산관리 - 2023.04.28",2023.04.28,Rating Score3.0,“적당히 먹고 살수있는회사”
59,"Verified User
          현직원 · 배****** · 생산엔지니어·생산관리 - 2023.04.27",2023.04.27,Rating Score3.0,“임금은 높은 회사”
60,"Verified User
          현직원 · 백*** · 연구개발(R&D) - 2023.04.25",2023.04.25,Rating Score3.0,“라인을 잘타야 하는 회사”
61,"Verified User
          현직원 · 비******* · 고객상담 전문가 - 2023.04.23",2023.04.23,Rating Score4.0,“초봉 높은 회사”
62,"Verified User
          현직원 · z******** · 생산엔지니어·생산관리 - 2023.04.17",2023.04.17,Rating Score3.0,“체계 없이 스스로 일해야 하는 곳”
63,"Verified User
          현직원 · 1********* · 생산엔지니어·생산관리 - 2023.04.14",2023.04.14,Rating Score1.0,“기본급이 매우 적은 회사”
64,"Verified User
          현직원 · c***** · 경영지원·관리 전문가 - 2023.04.05",2023.04.05,Rating Score5.0,“칼퇴 보장”
65,"Verified User
          현직원 · g********* · 구매·물류·SCM 전문가 - 2023.03.28",2023.03.28,Rating Score3.0,“부바부 차이 있음”
66,"Verified User
          현직원 · M***** · 영업 전문가 - 2023.03.28",2023.03.28,Rating Score5.0,“GREAT WORK LIFE BALANCE”
67,"Verified User
          현직원 · P***** · 구매·물류·SCM 전문가 - 2023.03.28",2023.03.28,Rating Score3.0,“무난하게 워라밸 지킬 수 있는 회사”
68,"Verified User
          현직원 · C********* · 생산엔지니어·생산관리 - 2023.03.27",2023.03.27,Rating Score1.0,“사내정치가 존재할수 밖에 없는(팀장만 수십명) 체계가 없어 개미와베짱이가 명백히 구분되는 회사”
69,"Verified User
          현직원 · 고**** · 하드웨어 엔지니어 - 2023.03.21",2023.03.21,Rating Score3.0,“빠른 변화가 일어나곤 있으나 좋은점수 주긴어려운 ”
70,"Verified User
          현직원 · k***** · 생산엔지니어·생산관리 - 2023.03.20",2023.03.20,Rating Score3.0,“워라밸은 보장되는 하지만 그게 전부인”
71,"Verified User
          현직원 · x***** · 생산엔지니어·생산관리 - 2023.03.20",2023.03.20,Rating Score3.0,“그냥저냥 다니기 좋은 회사”
72,"Verified User
          현직원 · l***** · 생산엔지니어·생산관리 - 2023.03.19",2023.03.19,Rating Score3.0,“일 많아서 커리어 쌓긴 좋을듯”
73,"Verified User
          현직원 · u******* · 생산엔지니어·생산관리 - 2023.03.19",2023.03.19,Rating Score1.0,“책임달기 전에 나가야할 회사”
74,"Verified User
          현직원 · 아***** · 경영지원·관리 전문가 - 2023.03.18",2023.03.18,Rating Score5.0,“일을 배우기 좋은 회사”
75,"Verified User
          현직원 · m******* · 경영지원·관리 전문가 - 2023.03.13",2023.03.13,Rating Score4.0,“밥맛집”
76,"Verified User
          현직원 · 데* · 생산엔지니어·생산관리 - 2023.03.07",2023.03.07,Rating Score4.0,“일한만큼 돈벌수있는회사”
77,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.03.06",2023.03.06,Rating Score4.0,“미래 성장성이 좋은 회사”
78,"Verified User
          현직원 · R***** · 생산엔지니어·생산관리 - 2023.03.06",2023.03.06,Rating Score4.0,“회의가많음 ”
79,"Verified User
          현직원 · e********* · 환경·안전·보건 전문가 - 2023.03.05",2023.03.05,Rating Score2.0,“신입에겐 경력쌓기 나쁘지않은 회사”
80,"Verified User
          현직원 · h******** · 경영지원·관리 전문가 - 2023.03.01",2023.03.01,Rating Score4.0,“안정적이고 경력쌓기 좋은 회사”
81,"Verified User
          현직원 · d***** · 생산엔지니어·생산관리 - 2023.02.28",2023.02.28,Rating Score3.0,“오래다니기는 어렵다”
82,"Verified User
          현직원 · U***** · 하드웨어 엔지니어 - 2023.02.28",2023.02.28,Rating Score5.0,“하려해도 불가능한게 많은회사”
83,"Verified User
          현직원 · f***** · 환경·안전·보건 전문가 - 2023.02.25",2023.02.25,Rating Score4.0,“탄탄하고 직원들을 생각해주는 회사임”
84,"Verified User
          현직원 · v***** · 환경·안전·보건 전문가 - 2023.02.22",2023.02.22,Rating Score5.0,“좋음”
