,info,date,rating,title
0,"Verified User
          현직원 · 하**** · 고객서비스 전문가 - 2023.11.21",2023.11.21,Rating Score2.0,“돈을 바라고 오지말고 안정성 보고 와라”
1,"Verified User
          현직원 · I***** · IT 엔지니어 - 2023.11.26",2023.11.26,Rating Score5.0,“돈과 워라벨 적절함. 다닐수 있음 다녀라.”
2,"Verified User
          현직원 · b***** · IT 엔지니어 - 2023.11.25",2023.11.25,Rating Score5.0,“괜찮은 회사”
3,"Verified User
          현직원 · w******* · 금융상담·관리 전문가 - 2023.11.23",2023.11.23,Rating Score4.0,“복지는 좋은 회사”
4,"Verified User
          현직원 · 룰**** · 금융상담·관리 전문가 - 2023.11.23",2023.11.23,Rating Score5.0,“워라벨 보장되는 회사(부서바이 팀바이 차이는 있음)”
5,"Verified User
          현직원 · p****** · 금융상담·관리 전문가 - 2023.11.21",2023.11.21,Rating Score5.0,“괜찮은 직장”
6,"Verified User
          현직원 · 사********* · 금융상담·관리 전문가 - 2023.11.20",2023.11.20,Rating Score4.0,"“많은 돈, 적당한 워라밸, 커리어는 글쎄”"
7,"Verified User
          현직원 · i******* · 고객상담 전문가 - 2023.11.15",2023.11.15,Rating Score5.0,“고인물이 많은 회사”
8,"Verified User
          현직원 · 한**** · IT 엔지니어 - 2023.11.15",2023.11.15,Rating Score4.0,“그럭저럭 좋은 회사”
9,"Verified User
          현직원 · ㅎ**** · 회계·세무·재무 전문가 - 2023.11.15",2023.11.15,Rating Score5.0,“건실한 회사”
10,"Verified User
          현직원 · i******** · IT 엔지니어 - 2023.11.15",2023.11.15,Rating Score3.0,“워라밸 적당하게 보장”
11,"Verified User
          현직원 · 점****** · 회계·세무·재무 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,“아무 생각없이 다니면 좋은 회사”
12,"Verified User
          현직원 · B***** · 금융상담·관리 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,“그래도 다닐만한 회사”
13,"Verified User
          현직원 · 우** · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score4.0,“음...돈은 잘줘요...”
14,"Verified User
          현직원 · l********* · 경영지원·관리 전문가 - 2023.11.08",2023.11.08,Rating Score2.0,“서서히 침몰해 가는 난파선”
15,"Verified User
          현직원 · G***** · 금융상담·관리 전문가 - 2023.11.07",2023.11.07,Rating Score5.0,“연봉 복지 등 좋음”
16,"Verified User
          현직원 · d***** · 영업 전문가 - 2023.11.06",2023.11.06,Rating Score4.0,“워라밸이 보장되지만 실적압박이 있음”
17,"Verified User
          현직원 · D***** · IT 엔지니어 - 2023.11.04",2023.11.04,Rating Score4.0,“괜찮은 것 같기도..”
18,"Verified User
          현직원 · T***** · 금융상담·관리 전문가 - 2023.11.03",2023.11.03,Rating Score2.0,“돈을너무안줌”
19,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.11.03",2023.11.03,Rating Score3.0,“개발커리어 포기하면 편할수도 있는 회사”
20,"Verified User
          현직원 · l******* · 경영지원·관리 전문가 - 2023.11.02",2023.11.02,Rating Score5.0,“국내 탑 시중은행 답다.”
21,"Verified User
          현직원 · B***** · 금융상담·관리 전문가 - 2023.11.02",2023.11.02,Rating Score5.0,“일한만큼 보장”
22,"Verified User
          현직원 · l********* · 금융상담·관리 전문가 - 2023.11.01",2023.11.01,Rating Score5.0,“복불복이 강한 회사”
23,"Verified User
          현직원 · k******* · 금융상담·관리 전문가 - 2023.10.31",2023.10.31,Rating Score3.0,“급여가 왜이리 작지”
24,"Verified User
          현직원 · r***** · 금융상담·관리 전문가 - 2023.10.28",2023.10.28,Rating Score4.0,“불만 많지만 이만한 직장도 없긴하다”
25,"Verified User
          현직원 · H***** · 금융상담·관리 전문가 - 2023.10.28",2023.10.28,Rating Score4.0,“무난하게 괜찮음”
26,"Verified User
          현직원 · i******** · 금융상담·관리 전문가 - 2023.10.28",2023.10.28,Rating Score2.0,“그저 그런 대기업”
27,"Verified User
          현직원 · A***** · 금융상담·관리 전문가 - 2023.10.27",2023.10.27,Rating Score4.0,“좋은데 답답함”
28,"Verified User
          현직원 · i******** · IT 엔지니어 - 2023.10.25",2023.10.25,Rating Score4.0,“무난하게 다닐만한 곳”
29,"Verified User
          전직원 · i******** · 경영전략·사업기획·분석전문가 - 2023.10.24",2023.10.24,Rating Score5.0,“특정 직군 기준 완벽한 회사”
30,"Verified User
          현직원 · J***** · IT 기획·매니지먼트 전문가 - 2023.10.24",2023.10.24,Rating Score3.0,"“돈만 얻는, 커리어의 무덤”"
31,"Verified User
          현직원 · 무*** · 금융상담·관리 전문가 - 2023.10.23",2023.10.23,Rating Score5.0,“워라밸 좋고 연봉 좋고”
32,"Verified User
          현직원 · I******** · 금융상담·관리 전문가 - 2023.10.22",2023.10.22,Rating Score3.0,“글쎄..”
33,"Verified User
          현직원 · s****** · 금융상담·관리 전문가 - 2023.10.20",2023.10.20,Rating Score4.0,“부모님께 효도하기 좋은 회사”
34,"Verified User
          현직원 · !******** · 영업 전문가 - 2023.10.17",2023.10.17,Rating Score1.0,“욕심없이 다니기 좋은 회사”
35,"Verified User
          현직원 · Q***** · 금융상담·관리 전문가 - 2023.10.17",2023.10.17,Rating Score3.0,“그래도 퇴근이 늦진 않다”
36,"Verified User
          현직원 · K***** · IT 엔지니어 - 2023.10.17",2023.10.17,Rating Score3.0,“커리어 발전엔 별로”
37,"Verified User
          현직원 · U****** · 정보보안·IT보안 - 2023.10.16",2023.10.16,Rating Score4.0,“근무 환경 굿”
38,"Verified User
          현직원 · !********* · IT 엔지니어 - 2023.10.14",2023.10.14,Rating Score4.0,“적당히 좋다고 생각함”
39,"Verified User
          현직원 · j****** · 고객서비스 전문가 - 2023.10.13",2023.10.13,Rating Score4.0,“급여 만족도와 고인물”
40,"Verified User
          현직원 · c***** · 금융상담·관리 전문가 - 2023.10.13",2023.10.13,Rating Score4.0,“은행 다닐거면 그래도 국민이 나은듯..”
41,"Verified User
          현직원 · s******** · 금융상담·관리 전문가 - 2023.10.13",2023.10.13,Rating Score4.0,“생각보다 마인드가 젊은 회사”
42,"Verified User
          현직원 · 어******* · 금융상담·관리 전문가 - 2023.10.12",2023.10.12,Rating Score3.0,“워크만 있는 회사”
43,"Verified User
          현직원 · !******** · 경영전략·사업기획·분석전문가 - 2023.10.11",2023.10.11,Rating Score3.0,“고이고 고인 회사”
44,"Verified User
          현직원 · k******** · 금융상담·관리 전문가 - 2023.10.11",2023.10.11,Rating Score4.0,“무난무난”
45,"Verified User
          현직원 · R***** · IT 엔지니어 - 2023.10.10",2023.10.10,Rating Score3.0,“돈많이주는 개발자 무덤”
46,"Verified User
          현직원 · V***** · 금융상담·관리 전문가 - 2023.10.09",2023.10.09,Rating Score4.0,"“꽤 높은 연봉, 다만 일하는 사람만 일하는 회사”"
47,"Verified User
          현직원 · p****** · IT 엔지니어 - 2023.10.09",2023.10.09,Rating Score3.0,“부바부가 있는 회사”
48,"Verified User
          현직원 · a***** · 금융상담·관리 전문가 - 2023.10.06",2023.10.06,Rating Score4.0,“복지는 좋은 회사”
49,"Verified User
          현직원 · p***** · IT 엔지니어 - 2023.10.06",2023.10.06,Rating Score5.0,“워라밸이 보장되는 회사”
50,"Verified User
          현직원 · q***** · 금융상담·관리 전문가 - 2023.10.05",2023.10.05,Rating Score4.0,“인지도”
51,"Verified User
          현직원 · m***** · 금융상담·관리 전문가 - 2023.10.05",2023.10.05,Rating Score3.0,"“외부인식과 급여, 복지는 좋다”"
52,"Verified User
          현직원 · I***** · 영업 전문가 - 2023.10.04",2023.10.04,Rating Score5.0,“워라밸이 보장되는 회사”
53,"Verified User
          현직원 · w******* · 금융상담·관리 전문가 - 2023.10.02",2023.10.02,Rating Score2.0,“생각보다 별로인 회사”
54,"Verified User
          현직원 · c***** · 금융상담·관리 전문가 - 2023.10.01",2023.10.01,Rating Score5.0,“워라밸 굿”
55,"Verified User
          현직원 · 건**** · 금융상담·관리 전문가 - 2023.09.30",2023.09.30,Rating Score5.0,“이전직장보다 낫다”
56,"Verified User
          현직원 · i********* · 금융상담·관리 전문가 - 2023.09.30",2023.09.30,Rating Score5.0,“안정적 회사 다소 괜찮은 연봉”
57,"Verified User
          현직원 · l******* · 금융상담·관리 전문가 - 2023.09.29",2023.09.29,Rating Score1.0,“이럴줄 알았으면 지원자체를 안했다”
58,"Verified User
          현직원 · 은*** · 영업 전문가 - 2023.09.29",2023.09.29,Rating Score4.0,“리딩뱅크만의 장점과 뱅크만의 단점”
59,"Verified User
          현직원 · 눈** · 금융상담·관리 전문가 - 2023.09.29",2023.09.29,Rating Score3.0,“겉으로 보이는 이미지와 완전 다른 회사”
60,"Verified User
          현직원 · w******* · 고객상담 전문가 - 2023.09.28",2023.09.28,Rating Score4.0,“적당한 회사”
61,"Verified User
          현직원 · a******* · 금융상담·관리 전문가 - 2023.09.28",2023.09.28,Rating Score3.0,“자기계발에 욕심이 없다면 좋음”
62,"Verified User
          전직원 · P***** · 경영지원·관리 전문가 - 2023.09.26",2023.09.26,Rating Score3.0,“구식문화에 정치싸움판”
63,"Verified User
          현직원 · C***** · IT 엔지니어 - 2023.09.26",2023.09.26,Rating Score5.0,“직장으로서 최고”
64,"Verified User
          현직원 · L***** · 금융상담·관리 전문가 - 2023.09.22",2023.09.22,Rating Score5.0,“든든한 회사”
65,"Verified User
          현직원 · i********* · 경영지원·관리 전문가 - 2023.09.21",2023.09.21,Rating Score5.0,“커리어 시작하기 좋은 회사”
66,"Verified User
          현직원 · b****** · IT 엔지니어 - 2023.09.20",2023.09.20,Rating Score4.0,“그냥 평범하고 평범함”
67,"Verified User
          현직원 · 8***** · 경영전략·사업기획·분석전문가 - 2023.09.19",2023.09.19,Rating Score4.0,“조직문화 보수적..”
68,"Verified User
          현직원 · H***** · 금융상담·관리 전문가 - 2023.09.19",2023.09.19,Rating Score5.0,“안정적인 직장”
69,"Verified User
          현직원 · c******* · 경영지원·관리 전문가 - 2023.09.17",2023.09.17,Rating Score3.0,“급여 복지 괜찮으나 경영진이 별로”
70,"Verified User
          현직원 · P***** · 금융상담·관리 전문가 - 2023.09.14",2023.09.14,Rating Score5.0,“복지가 좋아서 계속 다니는 회사”
71,"Verified User
          현직원 · I******** · 금융상담·관리 전문가 - 2023.09.13",2023.09.13,Rating Score2.0,“타임캡슐이 있다면 입행 전으로 돌아갈 것”
72,"Verified User
          현직원 · s****** · 경영지원·관리 전문가 - 2023.09.11",2023.09.11,Rating Score3.0,“그럭저럭 다닐만한 회사”
73,"Verified User
          현직원 · f***** · 금융상담·관리 전문가 - 2023.09.05",2023.09.05,Rating Score5.0,“나는 만족한다”
74,"Verified User
          전직원 · 후** · 금융상담·관리 전문가 - 2023.09.04",2023.09.04,Rating Score3.0,“실적 압박 엄청남”
75,"Verified User
          현직원 · L***** · 금융상담·관리 전문가 - 2023.09.03",2023.09.03,Rating Score4.0,“적당히 다니기 좋은 회사”
76,"Verified User
          현직원 · v**** · IT 엔지니어 - 2023.09.03",2023.09.03,Rating Score3.0,“워라밸이 훌륭하지만 의사결정이 오래 걸림”
77,"Verified User
          현직원 · m***** · 금융상담·관리 전문가 - 2023.09.02",2023.09.02,Rating Score4.0,“갈린만큼 돈 받는 회사”
78,"Verified User
          현직원 · 이********* · 금융상담·관리 전문가 - 2023.08.29",2023.08.29,Rating Score5.0,“지방에서는 그래도 괜찮은 위치”
79,"Verified User
          현직원 · l********* · 금융상담·관리 전문가 - 2023.08.26",2023.08.26,Rating Score4.0,“순환근무만 아니면 최고”
80,"Verified User
          현직원 · g***** · IT 엔지니어 - 2023.08.26",2023.08.26,Rating Score5.0,“대기업”
81,"Verified User
          현직원 · 2***** · 금융상담·관리 전문가 - 2023.08.23",2023.08.23,Rating Score4.0,“생각보다는 워라밸 있는 회사”
82,"Verified User
          현직원 · P***** · 금융상담·관리 전문가 - 2023.08.23",2023.08.23,Rating Score4.0,“누구나 아는 대기업 현실은..”
83,"Verified User
          현직원 · j***** · 영업 전문가 - 2023.08.22",2023.08.22,Rating Score5.0,“얇고 오래”
84,"Verified User
          현직원 · c******* · 고객서비스 전문가 - 2023.08.21",2023.08.21,Rating Score4.0,“복지는 좋다”
85,"Verified User
          전직원 · l********* · 고객서비스 전문가 - 2023.08.21",2023.08.21,Rating Score1.0,“워라밸은 되나 급여가 적다”
86,"Verified User
          현직원 · 동*** · IT 엔지니어 - 2023.08.21",2023.08.21,Rating Score5.0,“워라벨이 보장되는 회사”
