,info,date,rating,title
0,"Verified User
          현직원 · 크*** · IT 기획·매니지먼트 전문가 - 2023.10.18",2023.10.18,Rating Score2.0,“대기업의 시스템이맞나?”
1,"Verified User
          현직원 · U***** · 생산엔지니어·생산관리 - 2023.11.25",2023.11.25,Rating Score4.0,“부모님들이 좋아하는 회사”
2,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.11.25",2023.11.25,Rating Score3.0,“1등은 아니야”
3,"Verified User
          현직원 · c********* · 생산엔지니어·생산관리 - 2023.11.19",2023.11.19,Rating Score1.0,“밥 잘나오는거 제외한 나머지는”
4,"Verified User
          현직원 · 토** · 생산엔지니어·생산관리 - 2023.11.16",2023.11.16,Rating Score4.0,“공장짓느라 짠 회사”
5,"Verified User
          현직원 · ㅈ**** · 품질관리·보증 전문가 - 2023.11.15",2023.11.15,Rating Score4.0,“그럭저럭 괜찮은 회사”
6,"Verified User
          전직원 · R***** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score4.0,“워라밸은 없을지언정 커리어는 있는 회사”
7,"Verified User
          현직원 · t******* · 생산엔지니어·생산관리 - 2023.11.12",2023.11.12,Rating Score3.0,“여러가지 일을 배울수 있는 회사”
8,"Verified User
          현직원 · G****** · 생산엔지니어·생산관리 - 2023.11.11",2023.11.11,Rating Score3.0,“업무를 모르는 자들이 간섭하는 정치판”
9,"Verified User
          현직원 · D***** · 경영전략·사업기획·분석전문가 - 2023.11.11",2023.11.11,Rating Score3.0,“도망쳐”
10,"Verified User
          전직원 · e***** · 생산엔지니어·생산관리 - 2023.11.07",2023.11.07,Rating Score3.0,“삼시세끼 다주는 회사”
11,"Verified User
          현직원 · 쓰** · 생산엔지니어·생산관리 - 2023.11.07",2023.11.07,Rating Score3.0,“워라벨 최고”
12,"Verified User
          현직원 · r******* · 경영지원·관리 전문가 - 2023.11.04",2023.11.04,Rating Score3.0,“워라밸 없이 성장하고 싶으면 추천…”
13,"Verified User
          현직원 · q***** · 생산엔지니어·생산관리 - 2023.11.02",2023.11.02,Rating Score1.0,“돈안주는 최악의 회사”
14,"Verified User
          현직원 · 피**** · 품질관리·보증 전문가 - 2023.10.30",2023.10.30,Rating Score4.0,“워라밸”
15,"Verified User
          현직원 · H***** · 생산엔지니어·생산관리 - 2023.10.28",2023.10.28,Rating Score3.0,“낮은 연봉인상률”
16,"Verified User
          현직원 · P***** · 생산엔지니어·생산관리 - 2023.10.26",2023.10.26,Rating Score4.0,“젊은 분위기의 회사”
17,"Verified User
          전직원 · e****** · 생산엔지니어·생산관리 - 2023.10.23",2023.10.23,Rating Score3.0,"“""생산으로 부서를 배정 받는다면 인생 꼬였다 생각하시길""”"
18,"Verified User
          현직원 · j***** · 생산엔지니어·생산관리 - 2023.10.22",2023.10.22,Rating Score3.0,“평균 연령이 젊은 회사”
19,"Verified User
          현직원 · k**** · 생산엔지니어·생산관리 - 2023.10.21",2023.10.21,Rating Score3.0,“밥 하나는 잘나오는 회사”
20,"Verified User
          현직원 · r***** · 생산엔지니어·생산관리 - 2023.10.21",2023.10.21,Rating Score3.0,“나쁘지 않은 회사”
21,"Verified User
          현직원 · h***** · 마케팅·홍보 전문가 - 2023.10.20",2023.10.20,Rating Score3.0,“부바부지만 워라밸 당첨 확률 낮음”
22,"Verified User
          현직원 · B***** · 생산엔지니어·생산관리 - 2023.10.20",2023.10.20,Rating Score3.0,“갈수록 별로”
23,"Verified User
          현직원 · z***** · 품질관리·보증 전문가 - 2023.10.20",2023.10.20,Rating Score3.0,“최대 CMO capacity”
24,"Verified User
          현직원 · a******** · 연구개발(R&D) - 2023.10.17",2023.10.17,Rating Score4.0,“부바부이지만 워라밸 나쁘지 않다”
25,"Verified User
          현직원 · i********* · 하드웨어 엔지니어 - 2023.10.13",2023.10.13,Rating Score4.0,“미래 성장성이 좋고 업계에서는 탑”
26,"Verified User
          현직원 · i******* · 경영전략·사업기획·분석전문가 - 2023.10.12",2023.10.12,Rating Score3.0,“워라밸 보장 안되는 회사”
27,"Verified User
          현직원 · T*** · 생산엔지니어·생산관리 - 2023.10.12",2023.10.12,Rating Score3.0,“힘듦”
28,"Verified User
          현직원 · 왕***** · 구매·물류·SCM 전문가 - 2023.10.08",2023.10.08,Rating Score4.0,“경영진이 조지기 전까진 좋은 회사”
29,"Verified User
          현직원 · E**** · 생산엔지니어·생산관리 - 2023.10.02",2023.10.02,Rating Score2.0,“경영진이 단기실적에 목숨거는 회사”
30,"Verified User
          현직원 · 쓱*** · 건설 엔지니어 - 2023.10.01",2023.10.01,Rating Score5.0,“국내에 몇 안되는 블라인드 3.5 평점기업”
31,"Verified User
          현직원 · l******** · 생산엔지니어·생산관리 - 2023.09.25",2023.09.25,Rating Score4.0,“워라벨 좋음”
32,"Verified User
          현직원 · N***** · 연구개발(R&D) - 2023.09.24",2023.09.24,Rating Score4.0,“그냥 저냥 적당히 평균위 (동종업계기준)”
33,"Verified User
          현직원 · H***** · 경영지원·관리 전문가 - 2023.09.23",2023.09.23,Rating Score3.0,“외형적인 성장은 눈부시나 내실은 개선해야함”
34,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.09.20",2023.09.20,Rating Score4.0,“워라밸 보장 하지만 부바부”
35,"Verified User
          현직원 · r***** · 생산엔지니어·생산관리 - 2023.09.19",2023.09.19,Rating Score4.0,“고도 압축 성장 중인 회사”
36,"Verified User
          현직원 · $**** · 생산엔지니어·생산관리 - 2023.09.18",2023.09.18,Rating Score1.0,“제조 스타트업 수준의 회사”
37,"Verified User
          전직원 · u***** · 품질관리·보증 전문가 - 2023.09.17",2023.09.17,Rating Score3.0,“제약업의 기본을 배우기 좋은 곳”
38,"Verified User
          현직원 · r***** · 생산엔지니어·생산관리 - 2023.09.13",2023.09.13,Rating Score3.0,“최악의 경영진”
39,"Verified User
          현직원 · h**** · 생산엔지니어·생산관리 - 2023.09.13",2023.09.13,Rating Score4.0,“위치 빼고는 보편적으로 맘에 든당”
40,"Verified User
          현직원 · l***** · 생산엔지니어·생산관리 - 2023.09.12",2023.09.12,Rating Score3.0,“나쁘진 않음”
41,"Verified User
          현직원 · 엄*** · 생산엔지니어·생산관리 - 2023.09.12",2023.09.12,Rating Score4.0,“그냥 편하게 다니기 좋은 회사”
42,"Verified User
          전직원 · k****** · IT 엔지니어 - 2023.09.11",2023.09.11,Rating Score5.0,“좋은회사”
43,"Verified User
          현직원 · i******** · 생산엔지니어·생산관리 - 2023.09.11",2023.09.11,Rating Score4.0,“급격한 성장 중의 과도기. 하지만 직원을 챙겨주려는 노력이 보인다. ”
44,"Verified User
          전직원 · e******* · 생산엔지니어·생산관리 - 2023.09.10",2023.09.10,Rating Score5.0,“워라밸이 보장대는 회사”
45,"Verified User
          현직원 · t***** · 연구개발(R&D) - 2023.09.10",2023.09.10,Rating Score5.0,“워라밸이 보장되는 회사”
46,"Verified User
          현직원 · o***** · 생산엔지니어·생산관리 - 2023.09.08",2023.09.08,Rating Score3.0,“애매하다”
47,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.09.06",2023.09.06,Rating Score5.0,“다양한 장점”
48,"Verified User
          현직원 · i***** · 경영지원·관리 전문가 - 2023.09.04",2023.09.04,Rating Score5.0,“성장하는 회사”
49,"Verified User
          현직원 · R***** · 연구개발(R&D) - 2023.09.04",2023.09.04,Rating Score3.0,“체계가 부족한 회사”
50,"Verified User
          전직원 · A***** · 생산엔지니어·생산관리 - 2023.09.04",2023.09.04,Rating Score5.0,“워라밸 보장회사”
51,"Verified User
          현직원 · 웃****** · 생산엔지니어·생산관리 - 2023.09.04",2023.09.04,Rating Score1.0,“사내 정치에 망해가는 회사”
52,"Verified User
          현직원 · K***** · 경영지원·관리 전문가 - 2023.09.02",2023.09.02,Rating Score3.0,“성장성은 무궁무진하나 빡센 회사”
53,"Verified User
          현직원 · h**** · 생산엔지니어·생산관리 - 2023.09.01",2023.09.01,Rating Score4.0,“복지는 좋으나 연봉이 아쉬운 회사”
