,info,date,rating,title
0,"Verified User
          현직원 · 그*** · IT 기획·매니지먼트 전문가 - 2023.11.07",2023.11.07,Rating Score2.0,“꿀빨기 좋은 회사”
1,"Verified User
          현직원 · P***** · IT 엔지니어 - 2023.11.21",2023.11.21,Rating Score4.0,“낫밷”
2,"Verified User
          현직원 · E***** · IT 엔지니어 - 2023.11.15",2023.11.15,Rating Score5.0,“색다른 경험을 할 수 있는 회사”
3,"Verified User
          현직원 · D***** · 경영전략·사업기획·분석전문가 - 2023.11.10",2023.11.10,Rating Score4.0,“게임을 좋아한다면 국내 최고 기업”
4,"Verified User
          현직원 · i***** · IT 디자이너 - 2023.11.10",2023.11.10,Rating Score3.0,"“좋은 동료들, 그렇지못한 경영진”"
5,"Verified User
          현직원 · g***** · IT 엔지니어 - 2023.11.06",2023.11.06,Rating Score4.0,“많은걸 해볼수 있는 회사”
6,"Verified User
          현직원 · w********* · IT 디자이너 - 2023.11.06",2023.11.06,Rating Score3.0,“미래가 걱정되는 회사”
7,"Verified User
          현직원 · i******* · IT 기획·매니지먼트 전문가 - 2023.11.05",2023.11.05,Rating Score3.0,“기초소득 느낌으로 생각없이 다니기는 괜찮은 회사”
8,"Verified User
          현직원 · H***** · IT 엔지니어 - 2023.11.02",2023.11.02,Rating Score4.0,“존중받는 느낌이 드는 회사”
9,"Verified User
          현직원 · f***** · 회계·세무·재무 전문가 - 2023.10.28",2023.10.28,Rating Score3.0,“밥이 맛있는 회사”
10,"Verified User
          현직원 · J***** · 경영지원·관리 전문가 - 2023.10.22",2023.10.22,Rating Score4.0,“워라밸 굿 분위기 굿”
11,"Verified User
          현직원 · f***** · IT 엔지니어 - 2023.10.21",2023.10.21,Rating Score4.0,“돈 많고 규모는 커졌지만 갖춰야 할 시스템은 태산인 곳”
12,"Verified User
          현직원 · C***** · 경영전략·사업기획·분석전문가 - 2023.10.16",2023.10.16,Rating Score4.0,“게임좋아하는 이들에게 좋은 회사”
13,"Verified User
          현직원 · N****** · 경영전략·사업기획·분석전문가 - 2023.10.13",2023.10.13,Rating Score3.0,“양로하러 다닐 회사”
14,"Verified User
          현직원 · l*** · 경영전략·사업기획·분석전문가 - 2023.10.11",2023.10.11,Rating Score5.0,“위치랑 환경이좋은 회사”
15,"Verified User
          현직원 · E***** · IT 디자이너 - 2023.10.10",2023.10.10,Rating Score1.0,“망해가는 회사 인증을 주가 수치로 제대로 보여주는 회사”
16,"Verified User
          현직원 · Q***** · IT 엔지니어 - 2023.10.09",2023.10.09,Rating Score4.0,“기대되는 회사”
17,"Verified User
          현직원 · D******** · IT 디자이너 - 2023.10.08",2023.10.08,Rating Score4.0,“최고는 아니지만 최악도 아닌 회사”
18,"Verified User
          현직원 · i********* · IT 기획·매니지먼트 전문가 - 2023.10.04",2023.10.04,Rating Score3.0,“본진은 괜찮은 것 같은데 자회사는 케바케”
19,"Verified User
          현직원 · O***** · IT 기획·매니지먼트 전문가 - 2023.10.01",2023.10.01,Rating Score4.0,“모든게 좋지만 경영진은 그렇지않다.”
20,"Verified User
          현직원 · i********* · IT 디자이너 - 2023.09.24",2023.09.24,Rating Score1.0,“사람에게 지치는 회사”
