,info,date,rating,title
0,"Verified User
          현직원 · K***** · IT 엔지니어 - 2023.01.10",2023.01.10,Rating Score1.0,“PL급이 없는 회사”
1,"Verified User
          현직원 · E***** · IT 엔지니어 - 2023.10.26",2023.10.26,Rating Score2.0,“워라밸은 좋으나 성장할 수 없는 회사”
2,"Verified User
          현직원 · 빙** · 하드웨어 엔지니어 - 2023.10.26",2023.10.26,Rating Score4.0,“워라벨만큼은 끝판왕”
3,"Verified User
          현직원 · v********* · IT 엔지니어 - 2023.10.13",2023.10.13,Rating Score5.0,“워라벨 좋은 회사”
4,"Verified User
          현직원 · k***** · 생산엔지니어·생산관리 - 2023.10.04",2023.10.04,Rating Score2.0,"“부바부, 기회는 많다.”"
5,"Verified User
          현직원 · S****** · 생산엔지니어·생산관리 - 2023.09.28",2023.09.28,Rating Score5.0,“워라밸”
6,"Verified User
          현직원 · 아**** · 건설 엔지니어 - 2023.09.20",2023.09.20,Rating Score5.0,"“급여, 배울 점은 많은 회사”"
7,"Verified User
          현직원 · ㅣ********* · IT 기획·매니지먼트 전문가 - 2023.09.10",2023.09.10,Rating Score2.0,“일하는 사람만 일하는 회사”
8,"Verified User
          현직원 · D**** · 하드웨어 엔지니어 - 2023.09.09",2023.09.09,Rating Score4.0,“워라밸 최강의 회사”
9,"Verified User
          현직원 · P***** · IT 엔지니어 - 2023.08.25",2023.08.25,Rating Score3.0,“워라벨은 보장됩니다.”
10,"Verified User
          현직원 · 포****** · 생산엔지니어·생산관리 - 2023.08.07",2023.08.07,Rating Score2.0,“부바부. 워라벨과 정년이 보장되는 회사”
11,"Verified User
          현직원 · n******* · IT 엔지니어 - 2023.08.01",2023.08.01,Rating Score3.0,“워라벨 하나는 최고”
12,"Verified User
          현직원 · S***** · IT 엔지니어 - 2023.07.29",2023.07.29,Rating Score3.0,“업무/부서만 잘 고르면 워라벨 지킬수 있는 회사 ”
13,"Verified User
          현직원 · i****** · IT 기획·매니지먼트 전문가 - 2023.07.29",2023.07.29,Rating Score3.0,“체계가 있으나 성장성은 아쉬운”
14,"Verified User
          현직원 · i******* · IT 엔지니어 - 2023.07.28",2023.07.28,Rating Score3.0,“워라벨 보장되지만 그 외는 그닥”
15,"Verified User
          현직원 · G***** · IT 엔지니어 - 2023.07.16",2023.07.16,Rating Score2.0,“성장이 없는 회사”
16,"Verified User
          현직원 · L******** · IT 엔지니어 - 2023.07.15",2023.07.15,Rating Score3.0,“워라벨 최고 그러나 여기도 팀바팀 좀 심함”
17,"Verified User
          현직원 · X***** · 생산엔지니어·생산관리 - 2023.07.09",2023.07.09,Rating Score3.0,“평균 년령이 높은 회사”
18,"Verified User
          현직원 · 커****** · 생산엔지니어·생산관리 - 2023.07.09",2023.07.09,Rating Score4.0,“본인하기에 따라 발전시킬 수 있는회사”
19,"Verified User
          현직원 · 클***** · IT 엔지니어 - 2023.07.06",2023.07.06,Rating Score5.0,“항상 기회가 있는 회사”
20,"Verified User
          현직원 · g*** · IT 엔지니어 - 2023.06.29",2023.06.29,Rating Score3.0,“그저그런 회사”
21,"Verified User
          현직원 · t****** · 하드웨어 엔지니어 - 2023.06.24",2023.06.24,Rating Score3.0,“경력기술서 만들기 좋은회사”
22,"Verified User
          현직원 · 쨩***** · 건축·공간 디자이너 - 2023.06.09",2023.06.09,Rating Score4.0,“나쁘진 않지만 좋지도 않은 회사”
23,"Verified User
          현직원 · C******* · 연구개발(R&D) - 2023.05.21",2023.05.21,Rating Score5.0,“적당한 연봉에 좋은 워라밸”
24,"Verified User
          현직원 · 리* · IT 엔지니어 - 2023.05.20",2023.05.20,Rating Score2.0,“중간이 없는 회사”
25,"Verified User
          현직원 · u***** · 건설 엔지니어 - 2023.05.18",2023.05.18,Rating Score3.0,"“연봉, 워라밸, 커리어 향상 삼박자”"
26,"Verified User
          현직원 · 해*** · IT 엔지니어 - 2023.05.13",2023.05.13,Rating Score4.0,“워라밸은 보장되는 회사”
27,"Verified User
          현직원 · t***** · IT 엔지니어 - 2023.05.11",2023.05.11,Rating Score3.0,“복지 좋음”
28,"Verified User
          현직원 · 0****** · IT 엔지니어 - 2023.05.08",2023.05.08,Rating Score3.0,“윗선에선 배울게 없는 회사”
29,"Verified User
          현직원 · 농*** · 경영지원·관리 전문가 - 2023.04.26",2023.04.26,Rating Score4.0,“여러 분야가 기술을 활용하고 있어 역량 향상 가능”
30,"Verified User
          현직원 · r**** · IT 엔지니어 - 2023.04.22",2023.04.22,Rating Score5.0,“워라벨 보장”
31,"Verified User
          현직원 · x***** · IT 엔지니어 - 2023.04.19",2023.04.19,Rating Score3.0,“워라벨이 보장되는 회사”
32,"Verified User
          현직원 · C***** · 생산엔지니어·생산관리 - 2023.04.08",2023.04.08,Rating Score5.0,“만족스럽게 다니는 중”
33,"Verified User
          현직원 · D*** · IT 엔지니어 - 2023.04.03",2023.04.03,Rating Score3.0,“워라밸 하나만 좋음 회사”
34,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.03.28",2023.03.28,Rating Score3.0,“워라밸이 보장되는 회사”
35,"Verified User
          현직원 · i***** · IT 엔지니어 - 2023.03.26",2023.03.26,Rating Score3.0,“워라벨이 어느정도 보장되나 사장 및 임원이 내부의 적인 회사”
36,"Verified User
          현직원 · y***** · IT 엔지니어 - 2023.03.21",2023.03.21,Rating Score5.0,“워라벨이 보장되는 회사”
37,"Verified User
          현직원 · j********* · IT 엔지니어 - 2023.03.16",2023.03.16,Rating Score4.0,“워라벨 좋음”
38,"Verified User
          현직원 · i******* · IT 엔지니어 - 2023.03.12",2023.03.12,Rating Score4.0,"“워라밸 좋고, 수직적인 불필요 문화”"
39,"Verified User
          현직원 · l******** · IT 엔지니어 - 2023.03.10",2023.03.10,Rating Score4.0,“워라밸 정말 좋은회사”
40,"Verified User
          현직원 · B***** · 생산엔지니어·생산관리 - 2023.03.09",2023.03.09,Rating Score3.0,“워라벨 좋고 커리어 쌓기 좋은 기업”
41,"Verified User
          전직원 · l***** · IT 엔지니어 - 2023.03.07",2023.03.07,Rating Score2.0,“기대하지마라”
42,"Verified User
          현직원 · v***** · 생산엔지니어·생산관리 - 2023.03.03",2023.03.03,Rating Score4.0,“워라밸 좋음”
43,"Verified User
          현직원 · s****** · 연구개발(R&D) - 2023.02.24",2023.02.24,Rating Score2.0,“워라벨만 보장되는 회사”
44,"Verified User
          현직원 · 1******** · IT 엔지니어 - 2023.02.20",2023.02.20,Rating Score2.0,“요즘은 워라벨도 그닥인 화사”
45,"Verified User
          현직원 · q***** · IT 엔지니어 - 2023.02.08",2023.02.08,Rating Score5.0,“워라벨이 보장되는 회사”
46,"Verified User
          현직원 · 퇴******* · IT 엔지니어 - 2023.02.03",2023.02.03,Rating Score3.0,“그냥 뭐 적당히~ 다닐만 한거 같기도 하고 ”
47,"Verified User
          현직원 · a***** · IT 엔지니어 - 2023.01.31",2023.01.31,Rating Score3.0,“저년차 사원급 경험쌓고 이직하기 좋은기업!”
48,"Verified User
          현직원 · I********* · IT 엔지니어 - 2023.01.23",2023.01.23,Rating Score5.0,"“부바부, 지사별 차이가 극명한 회사”"
49,"Verified User
          현직원 · z***** · IT 엔지니어 - 2023.01.14",2023.01.14,Rating Score3.0,“워라벨 보장”
50,"Verified User
          현직원 · A***** · 생산엔지니어·생산관리 - 2023.01.12",2023.01.12,Rating Score2.0,“좋은회사”
51,"Verified User
          현직원 · b***** · 생산엔지니어·생산관리 - 2023.01.08",2023.01.08,Rating Score4.0,“경력에 도움되는회사”
52,"Verified User
          전직원 · l******** · IT 엔지니어 - 2023.01.05",2023.01.05,Rating Score3.0,“사람들은 좋은 회사”
53,"Verified User
          현직원 · p****** · IT 엔지니어 - 2023.01.03",2023.01.03,Rating Score3.0,“남자라면 맞벌이 해야함”
54,"Verified User
          현직원 · l********* · IT 엔지니어 - 2022.12.29",2022.12.29,Rating Score3.0,“그래도 바뀌려고 노력하는 회사”
55,"Verified User
          현직원 · d*** · IT 엔지니어 - 2022.12.28",2022.12.28,Rating Score4.0,“높지않은급여와 포스코자회사로 망하기 힘든 회사”
56,"Verified User
          현직원 · i********* · IT 엔지니어 - 2022.12.28",2022.12.28,Rating Score3.0,“그냥저냥 놀면서 다님”
57,"Verified User
          현직원 · f***** · 연구개발(R&D) - 2022.12.27",2022.12.27,Rating Score2.0,“워라벨보장”
58,"Verified User
          현직원 · C***** · IT 엔지니어 - 2022.12.24",2022.12.24,Rating Score3.0,“하기 나름”
59,"Verified User
          현직원 · I***** · IT 기획·매니지먼트 전문가 - 2022.12.20",2022.12.20,Rating Score5.0,“오랫동안 함께 할수 있는 회사”
60,"Verified User
          현직원 · e***** · IT 엔지니어 - 2022.12.13",2022.12.13,Rating Score4.0,“워라벨 굿”
61,"Verified User
          현직원 · z***** · 경영지원·관리 전문가 - 2022.12.09",2022.12.09,Rating Score4.0,“워라벨 좋음”
62,"Verified User
          현직원 · a******** · 하드웨어 엔지니어 - 2022.12.09",2022.12.09,Rating Score3.0,“워라벨도 없는 회사”
63,"Verified User
          현직원 · e***** · IT 엔지니어 - 2022.11.25",2022.11.25,Rating Score3.0,“워라벨이 보장되는회사”
64,"Verified User
          현직원 · Y******** · 생산엔지니어·생산관리 - 2022.11.15",2022.11.15,Rating Score4.0,“워라벨 보장 !”
65,"Verified User
          현직원 · y*** · IT 엔지니어 - 2022.11.06",2022.11.06,Rating Score4.0,“워라밸은 있는 회사”
66,"Verified User
          현직원 · d**** · 건설 엔지니어 - 2022.11.01",2022.11.01,Rating Score3.0,“워라벨은 보장되는 회사”
67,"Verified User
          현직원 · ㄴ**** · IT 엔지니어 - 2022.10.29",2022.10.29,Rating Score3.0,“워러벨을 원한다면 추천”
68,"Verified User
          전직원 · j***** · 건설 엔지니어 - 2022.10.26",2022.10.26,Rating Score3.0,“진리의부바부 워라벨 보장 ”
