,info,date,rating,title
0,"Verified User
          현직원 · 제***** · 생산엔지니어·생산관리 - 2023.05.23",2023.05.23,Rating Score2.0,“최악”
1,"Verified User
          현직원 · 이*** · 생산엔지니어·생산관리 - 2023.11.27",2023.11.27,Rating Score3.0,“미래가있을까?”
2,"Verified User
          현직원 · 꾯* · 생산엔지니어·생산관리 - 2023.11.22",2023.11.22,Rating Score3.0,“미래는 짱짱한 회사 회사 내부는 한숨”
3,"Verified User
          현직원 · f******* · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score5.0,“미래가 더욱 더 기대되는 기업”
4,"Verified User
          현직원 · C***** · 생산엔지니어·생산관리 - 2023.11.12",2023.11.12,Rating Score3.0,“한만큼 벌수있는 회사”
5,"Verified User
          현직원 · f****** · 생산엔지니어·생산관리 - 2023.10.30",2023.10.30,Rating Score4.0,“제조업이지만 IT계열 회사처럼 보상이 기대되는 회사”
6,"Verified User
          현직원 · 1********* · 생산엔지니어·생산관리 - 2023.10.29",2023.10.29,Rating Score5.0,“회사는 죄가 없다 ”
7,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.10.20",2023.10.20,Rating Score4.0,“무난한 회사”
8,"Verified User
          현직원 · c***** · IT 엔지니어 - 2023.10.18",2023.10.18,Rating Score4.0,“성장&발전 가능성이 높은회사”
9,"Verified User
          현직원 · 홍** · 생산엔지니어·생산관리 - 2023.09.18",2023.09.18,Rating Score3.0,“중소기업 중에서는 괜찮은 회사”
10,"Verified User
          현직원 · L***** · 환경·안전·보건 전문가 - 2023.09.08",2023.09.08,Rating Score4.0,“경영진 마인드는 최고”
11,"Verified User
          현직원 · 토*** · 생산엔지니어·생산관리 - 2023.09.04",2023.09.04,Rating Score5.0,“워라벨이 보장 되는회사”
12,"Verified User
          현직원 · X***** · 상품기획·MD·디자이너 - 2023.08.31",2023.08.31,Rating Score3.0,“성장성 높은 회사”
13,"Verified User
          현직원 · r***** · 생산엔지니어·생산관리 - 2023.08.30",2023.08.30,Rating Score3.0,“그냥저냥 다닐만한 회사”
14,"Verified User
          현직원 · S***** · 생산엔지니어·생산관리 - 2023.08.29",2023.08.29,Rating Score5.0,“성장성 있는 만큼 힘들다”
15,"Verified User
          현직원 · f****** · 생산엔지니어·생산관리 - 2023.08.20",2023.08.20,Rating Score1.0,“현재는 과도기 및 성장기”
16,"Verified User
          현직원 · j****** · 생산엔지니어·생산관리 - 2023.07.04",2023.07.04,Rating Score3.0,“다닐만한회사”
17,"Verified User
          현직원 · ‘**** · 생산엔지니어·생산관리 - 2023.07.04",2023.07.04,Rating Score5.0,“미래가 기대되는 회사”
18,"Verified User
          현직원 · 에** · 생산엔지니어·생산관리 - 2023.07.02",2023.07.02,Rating Score4.0,“성장가능성”
19,"Verified User
          현직원 · v***** · 생산엔지니어·생산관리 - 2023.06.30",2023.06.30,Rating Score3.0,“귝내 전구체 유망회사”
20,"Verified User
          현직원 · p***** · 구매·물류·SCM 전문가 - 2023.06.25",2023.06.25,Rating Score5.0,“5년뒤 10년뒤가 기대되는 회사”
21,"Verified User
          현직원 · 불*** · 하드웨어 엔지니어 - 2023.06.08",2023.06.08,Rating Score3.0,“앞으로 성장이 기대되는회사 ...그러나...”
