,info,date,rating,title
0,"Verified User
          현직원 · P***** · 생산엔지니어·생산관리 - 2023.11.21",2023.11.21,Rating Score2.0,“몸 갈아넣는회사”
1,"Verified User
          현직원 · k********* · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score4.0,“미래 먹거리는 괜찮지만 보수적인 집단.”
2,"Verified User
          현직원 · O***** · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score4.0,“대기업이라서 좋아요”
3,"Verified User
          현직원 · r***** · 연구개발(R&D) - 2023.11.26",2023.11.26,Rating Score4.0,“삼성이란 타이틀로 먹고 들어가는 회사”
4,"Verified User
          현직원 · z***** · 연구개발(R&D) - 2023.11.26",2023.11.26,Rating Score4.0,“만족스러움”
5,"Verified User
          현직원 · j********* · 연구개발(R&D) - 2023.11.24",2023.11.24,Rating Score5.0,“낫밷”
6,"Verified User
          현직원 · S****** · 생산엔지니어·생산관리 - 2023.11.23",2023.11.23,Rating Score4.0,“나름 괜찮은 회사”
7,"Verified User
          현직원 · p******** · 생산엔지니어·생산관리 - 2023.11.22",2023.11.22,Rating Score3.0,“그냥 그럭저럭 다닐만함”
8,"Verified User
          현직원 · u***** · 연구개발(R&D) - 2023.11.22",2023.11.22,Rating Score4.0,“다닐만함”
9,"Verified User
          현직원 · i******* · 연구개발(R&D) - 2023.11.21",2023.11.21,Rating Score4.0,“큰 욕심 없다면 적당히 다닐만한 곳”
10,"Verified User
          현직원 · R***** · 연구개발(R&D) - 2023.11.21",2023.11.21,Rating Score3.0,“삼성후자”
11,"Verified User
          현직원 · J****** · 건축·공간 디자이너 - 2023.11.21",2023.11.21,Rating Score5.0,“워라벨이 좋음”
12,"Verified User
          현직원 · N********* · 생산엔지니어·생산관리 - 2023.11.20",2023.11.20,Rating Score3.0,“워라벨 보장되는건 부바부”
13,"Verified User
          현직원 · d******* · 해외영업·사업개발·마케팅 - 2023.11.18",2023.11.18,Rating Score2.0,“사람한테 질림”
14,"Verified User
          현직원 · 오* · 생산엔지니어·생산관리 - 2023.11.17",2023.11.17,Rating Score3.0,“고인물많은곳”
15,"Verified User
          전직원 · d******** · 생산엔지니어·생산관리 - 2023.11.16",2023.11.16,Rating Score4.0,“대기업”
16,"Verified User
          현직원 · i******* · 생산엔지니어·생산관리 - 2023.11.16",2023.11.16,Rating Score2.0,“돈주니까 다니는 회사”
17,"Verified User
          현직원 · h******* · 생산엔지니어·생산관리 - 2023.11.14",2023.11.14,Rating Score3.0,“업종 특성상 배워갈게 많은 곳”
18,"Verified User
          현직원 · u***** · 연구개발(R&D) - 2023.11.10",2023.11.10,Rating Score4.0,“다 바빠보임”
19,"Verified User
          현직원 · 보*** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score5.0,“힘들고 편한 부서의 갭 차이가 큼”
20,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score5.0,“워라맬이 보장되는 회사”
21,"Verified User
          현직원 · z**** · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score3.0,“커리어가 키우는 회사”
22,"Verified User
          현직원 · l********* · 하드웨어 엔지니어 - 2023.11.06",2023.11.06,Rating Score5.0,“박사 받고 오기엔 좋은듯”
23,"Verified User
          현직원 · n****** · 품질관리·보증 전문가 - 2023.11.02",2023.11.02,Rating Score3.0,“그냥저냥 무난한 회사 ”
24,"Verified User
          현직원 · 왜*** · 생산엔지니어·생산관리 - 2023.10.30",2023.10.30,Rating Score4.0,“밥이 정말 맛있음”
25,"Verified User
          현직원 · E***** · 하드웨어 엔지니어 - 2023.10.28",2023.10.28,Rating Score3.0,“복지가 좋은회사”
26,"Verified User
          현직원 · R***** · 연구개발(R&D) - 2023.10.27",2023.10.27,Rating Score5.0,“아직은 잘 모르겠음”
27,"Verified User
          현직원 · y***** · 연구개발(R&D) - 2023.10.26",2023.10.26,Rating Score4.0,“큰 욕심 없이 다니기 좋은 회사”
28,"Verified User
          현직원 · I******** · 품질관리·보증 전문가 - 2023.10.25",2023.10.25,Rating Score4.0,“어쨌든 삼성”
29,"Verified User
          현직원 · 용***** · 연구개발(R&D) - 2023.10.24",2023.10.24,Rating Score4.0,“워라벨이 좋은 회사 ”
