,info,date,rating,title
0,"Verified User
          현직원 · o******* · IT 기획·매니지먼트 전문가 - 2023.07.03",2023.07.03,Rating Score2.0,“오십대 대깨 많은 회사”
1,"Verified User
          현직원 · T***** · IT 기획·매니지먼트 전문가 - 2023.11.23",2023.11.23,Rating Score4.0,"“급여, 복지, 성장기회 측면에서 동종업계 최고 수준”"
2,"Verified User
          현직원 · c***** · IT 엔지니어 - 2023.11.22",2023.11.22,Rating Score3.0,“팀바팀”
3,"Verified User
          현직원 · L***** · IT 엔지니어 - 2023.11.22",2023.11.22,Rating Score4.0,“워라벨 좋음”
4,"Verified User
          현직원 · R***** · IT 엔지니어 - 2023.11.22",2023.11.22,Rating Score5.0,“워라벨이 보장 되는 회사”
5,"Verified User
          현직원 · l******** · 경영전략·사업기획·분석전문가 - 2023.11.17",2023.11.17,Rating Score4.0,“워라밸 갠츈”
6,"Verified User
          현직원 · r***** · IT 엔지니어 - 2023.11.16",2023.11.16,Rating Score3.0,“워라밸”
7,"Verified User
          현직원 · y***** · IT 기획·매니지먼트 전문가 - 2023.11.14",2023.11.14,Rating Score4.0,"“연봉대비 워라벨, 안정성 / B2B & 삼성의 한계”"
8,"Verified User
          현직원 · 와*** · IT 엔지니어 - 2023.11.13",2023.11.13,Rating Score5.0,“워라벨 만족해요”
9,"Verified User
          현직원 · !******* · IT 엔지니어 - 2023.11.12",2023.11.12,Rating Score3.0,“하는만큼 주는회사”
10,"Verified User
          현직원 · G***** · IT 기획·매니지먼트 전문가 - 2023.11.12",2023.11.12,Rating Score3.0,“워라밸은 좋음 ”
11,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.11.03",2023.11.03,Rating Score3.0,"“워라벨이 좋고, 무난하게 다니기 좋은 회사”"
12,"Verified User
          현직원 · O***** · IT 엔지니어 - 2023.11.02",2023.11.02,Rating Score4.0,“워라벨과 적당한돈”
13,"Verified User
          현직원 · v***** · IT 엔지니어 - 2023.11.01",2023.11.01,Rating Score3.0,“워라밸은 좋은 회사”
14,"Verified User
          현직원 · 뜌** · IT 기획·매니지먼트 전문가 - 2023.11.01",2023.11.01,Rating Score3.0,“대체로 워라벨은 좋은 회사”
15,"Verified User
          현직원 · k******* · IT 엔지니어 - 2023.11.01",2023.11.01,Rating Score4.0,“워라밸이 보장되는 회사”
16,"Verified User
          현직원 · t***** · IT 기획·매니지먼트 전문가 - 2023.10.31",2023.10.31,Rating Score4.0,“팀바팀이긴 하지만 워라벨 보장 잘 되는 편인듯”
17,"Verified User
          현직원 · a******* · IT 엔지니어 - 2023.10.27",2023.10.27,Rating Score3.0,“무난무난한 회사”
18,"Verified User
          현직원 · s******* · 상품기획·MD·디자이너 - 2023.10.27",2023.10.27,Rating Score4.0,“삼성 전자 하청회사”
19,"Verified User
          현직원 · k***** · 구매·물류·SCM 전문가 - 2023.10.25",2023.10.25,Rating Score4.0,“복지가 좋은 회사”
20,"Verified User
          현직원 · x***** · IT 기획·매니지먼트 전문가 - 2023.10.25",2023.10.25,Rating Score4.0,“해보고 싶은거 다 해보면서 성과나면 좋고 아님말고...? ”
21,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.10.24",2023.10.24,Rating Score3.0,“워라벨만! 보장”
22,"Verified User
          현직원 · 맥***** · IT 엔지니어 - 2023.10.20",2023.10.20,Rating Score3.0,“그냥저냥 살기에는 좋은 회사”
23,"Verified User
          현직원 · s********* · IT 엔지니어 - 2023.10.20",2023.10.20,Rating Score3.0,“일 하는 놈은 일하고 노는놈은 맨날놈”
