,info,date,rating,title
0,"Verified User
          현직원 · ¡********* · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score2.0,“노답”
1,"Verified User
          현직원 · I***** · IT 엔지니어 - 2023.11.28",2023.11.28,Rating Score4.0,“부바부 워라밸 가능”
2,"Verified User
          현직원 · J***** · IT 기획·매니지먼트 전문가 - 2023.11.27",2023.11.27,Rating Score3.0,“각자도생”
3,"Verified User
          현직원 · 파**** · 경영전략·사업기획·분석전문가 - 2023.11.24",2023.11.24,Rating Score4.0,“그래도 SK”
4,"Verified User
          전직원 · I***** · IT 기획·매니지먼트 전문가 - 2023.11.21",2023.11.21,Rating Score4.0,“워라밸 보장되는 회사”
5,"Verified User
          현직원 · t***** · IT 엔지니어 - 2023.11.20",2023.11.20,Rating Score4.0,“고객사 따른 회사 분위기인듯”
6,"Verified User
          현직원 · u***** · IT 엔지니어 - 2023.11.12",2023.11.12,Rating Score5.0,“대기업이긴 한 회사”
7,"Verified User
          현직원 · V***** · IT 엔지니어 - 2023.11.10",2023.11.10,Rating Score3.0,“워라밸읔 좋지만 커리어 성장이 불안한 회사”
8,"Verified User
          현직원 · 6*** · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score5.0,“워라밸이 보장되는 회사”
9,"Verified User
          현직원 · d***** · 생산엔지니어·생산관리 - 2023.11.07",2023.11.07,Rating Score4.0,“그냥 저냥 다닐만함”
10,"Verified User
          현직원 · i********* · 경영전략·사업기획·분석전문가 - 2023.11.06",2023.11.06,Rating Score5.0,“SK다”
11,"Verified User
          현직원 · c***** · IT 엔지니어 - 2023.11.05",2023.11.05,Rating Score3.0,“솔직히 다닐만합니다”
12,"Verified User
          현직원 · T***** · IT 엔지니어 - 2023.11.04",2023.11.04,Rating Score3.0,“뭐든게 무난한 전형적인 대기업”
13,"Verified User
          현직원 · D***** · 경영전략·사업기획·분석전문가 - 2023.10.31",2023.10.31,Rating Score3.0,“일하는 사람만 시킴”
14,"Verified User
          현직원 · i******* · 생산엔지니어·생산관리 - 2023.10.23",2023.10.23,Rating Score5.0,“Sk가 sk했다 복지든 급여든 만족함 전직장이 ㅈ소라”
15,"Verified User
          현직원 · g***** · IT 엔지니어 - 2023.10.20",2023.10.20,Rating Score4.0,“일반대기업 수준에 딸리지않음.  다닐만함”
16,"Verified User
          현직원 · P***** · IT 엔지니어 - 2023.10.20",2023.10.20,Rating Score2.0,“믿기지 않는 회사”
17,"Verified User
          현직원 · L***** · 경영전략·사업기획·분석전문가 - 2023.10.16",2023.10.16,Rating Score3.0,“행복은 회사 밖에서 찾으면 되는 회사 ”
18,"Verified User
          현직원 · C***** · IT 엔지니어 - 2023.10.15",2023.10.15,Rating Score3.0,"“워라밸은 좋고, 급여나 복지는 부족”"
19,"Verified User
          현직원 · u***** · IT 엔지니어 - 2023.10.13",2023.10.13,Rating Score5.0,“워라밸 보장 근무 위치 최상 입니다”
20,"Verified User
          현직원 · l********* · 경영전략·사업기획·분석전문가 - 2023.10.13",2023.10.13,Rating Score5.0,“더 할 말이 없음”
21,"Verified User
          현직원 · T***** · 경영지원·관리 전문가 - 2023.10.11",2023.10.11,Rating Score3.0,“여러모로 많이 배울 수 있는 회사”
22,"Verified User
          현직원 · 바***** · IT 기획·매니지먼트 전문가 - 2023.10.11",2023.10.11,Rating Score3.0,“아직 잘 모르겠음”
23,"Verified User
          현직원 · O********* · IT 엔지니어 - 2023.10.11",2023.10.11,Rating Score3.0,“사내문화 좋은 동료 외 좋은건 없음”
24,"Verified User
          현직원 · l***** · IT 엔지니어 - 2023.10.10",2023.10.10,Rating Score3.0,“적당함”
25,"Verified User
          현직원 · Q***** · IT 기획·매니지먼트 전문가 - 2023.10.09",2023.10.09,Rating Score2.0,"“2보 전진을 위해 3보 후퇴하는 회사, C&C”"
26,"Verified User
          현직원 · O***** · IT 엔지니어 - 2023.10.08",2023.10.08,Rating Score3.0,“가라앉는 배”
27,"Verified User
          현직원 · H***** · 마케팅·홍보 전문가 - 2023.10.02",2023.10.02,Rating Score5.0,“급여 및 복지는 최고 수준”
28,"Verified User
          현직원 · Z****** · IT 엔지니어 - 2023.10.02",2023.10.02,Rating Score2.0,“별로임”
29,"Verified User
          현직원 · S***** · IT 엔지니어 - 2023.09.25",2023.09.25,Rating Score4.0,“슼무원은 옛날말”
30,"Verified User
          현직원 · x***** · IT 엔지니어 - 2023.09.22",2023.09.22,Rating Score3.0,“이력서에 쓸 내용을 만들어주는 회사”
31,"Verified User
          현직원 · m******* · 경영전략·사업기획·분석전문가 - 2023.09.20",2023.09.20,Rating Score1.0,“최악의 회사”
32,"Verified User
          현직원 · l***** · IT 엔지니어 - 2023.09.19",2023.09.19,Rating Score3.0,“일은 하는 놈만”
33,"Verified User
          현직원 · T***** · IT 엔지니어 - 2023.09.17",2023.09.17,Rating Score4.0,“자율이 보장되는 회사”
34,"Verified User
          현직원 · n***** · IT 기획·매니지먼트 전문가 - 2023.09.13",2023.09.13,Rating Score5.0,“좋은 회사임. 대신 바쁘다”
35,"Verified User
          현직원 · >******** · IT 엔지니어 - 2023.09.10",2023.09.10,Rating Score3.0,“슼무원”
