,info,date,rating,title
0,"Verified User
          현직원 · s******* · 경영지원·관리 전문가 - 2023.09.21",2023.09.21,Rating Score2.0,“고인물 많은 회사”
1,"Verified User
          현직원 · l******** · 경영전략·사업기획·분석전문가 - 2023.11.26",2023.11.26,Rating Score5.0,“워라밸 훌륭 / 기업문화 바뀌는 중”
2,"Verified User
          현직원 · e********* · 생산엔지니어·생산관리 - 2023.11.24",2023.11.24,Rating Score3.0,“워라밸은 좋아졌지만 처우랑 커리어 갈아탈 곳 없는곳”
3,"Verified User
          현직원 · l********* · 하드웨어 엔지니어 - 2023.11.22",2023.11.22,Rating Score5.0,“워라밸 좋은편이고 연봉은 최근 괜찮아지는중”
4,"Verified User
          현직원 · i***** · 생산엔지니어·생산관리 - 2023.11.20",2023.11.20,Rating Score5.0,“안정적인 회사”
5,"Verified User
          현직원 · o******** · IT 디자이너 - 2023.11.20",2023.11.20,Rating Score4.0,“직무에 따라서 만족도가 천차만별”
6,"Verified User
          현직원 · b***** · 고객서비스 전문가 - 2023.11.18",2023.11.18,Rating Score5.0,“뭔가 이루고 싶다…? 다른회사 가셈..그외 다 좋음”
7,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.11.17",2023.11.17,Rating Score4.0,“전체적으로 보면 좋은회사가 맞아요”
8,"Verified User
          현직원 · i******** · 연구개발(R&D) - 2023.11.16",2023.11.16,Rating Score3.0,“꼰대들이 드글거리는 크게 성장 못할 회사”
9,"Verified User
          현직원 · u***** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score4.0,“워라밸 보장되는 회사”
10,"Verified User
          현직원 · i******** · 하드웨어 엔지니어 - 2023.11.12",2023.11.12,Rating Score5.0,“나름 발전하기 좋은 직렬임”
11,"Verified User
          현직원 · 웅** · 생산엔지니어·생산관리 - 2023.11.08",2023.11.08,Rating Score4.0,“화성공장 출퇴근 3시간”
12,"Verified User
          현직원 · q***** · 고객서비스 전문가 - 2023.11.07",2023.11.07,Rating Score5.0,“워라밸및 사람좋은회사”
13,"Verified User
          현직원 · x***** · 품질관리·보증 전문가 - 2023.11.06",2023.11.06,Rating Score4.0,“적당히 다닐만한 회사”
14,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.11.02",2023.11.02,Rating Score3.0,“지금 잘나가는 회사”
15,"Verified User
          현직원 · G***** · 경영지원·관리 전문가 - 2023.11.02",2023.11.02,Rating Score4.0,“조합원이 최고인 회사”
16,"Verified User
          현직원 · 로**** · 생산엔지니어·생산관리 - 2023.11.01",2023.11.01,Rating Score4.0,“칼퇴 쌉가능 워라벨좋음”
17,"Verified User
          현직원 · p**** · 생산엔지니어·생산관리 - 2023.11.01",2023.11.01,Rating Score4.0,“어느정도 돈은 잘 주는 회사”
18,"Verified User
          현직원 · 율** · 생산엔지니어·생산관리 - 2023.10.31",2023.10.31,Rating Score5.0,“그럭저럭 괜찮음”
19,"Verified User
          현직원 · b***** · 생산엔지니어·생산관리 - 2023.10.29",2023.10.29,Rating Score4.0,“그래도 돈은준다”
20,"Verified User
          현직원 · w***** · 경영전략·사업기획·분석전문가 - 2023.10.26",2023.10.26,Rating Score4.0,“과장급으로 오면 좋은회사”
21,"Verified User
          현직원 · p***** · 생산엔지니어·생산관리 - 2023.10.26",2023.10.26,Rating Score4.0,“워라밸이 보장되는 회사”
22,"Verified User
          현직원 · w****** · 마케팅·홍보 전문가 - 2023.10.25",2023.10.25,Rating Score4.0,“요즘 시대에 인간적인 회사”
23,"Verified User
          현직원 · N***** · 해외영업·사업개발·마케팅 - 2023.10.25",2023.10.25,Rating Score3.0,“커리어 개발 생각없이 오래다니기 좋은 회사”
24,"Verified User
          현직원 · I***** · 생산엔지니어·생산관리 - 2023.10.25",2023.10.25,Rating Score4.0,“워라밸의 기아”
25,"Verified User
          현직원 · d********* · 경영지원·관리 전문가 - 2023.10.25",2023.10.25,Rating Score4.0,“워라밸 보장 가능”
26,"Verified User
          현직원 · p***** · 경영지원·관리 전문가 - 2023.10.24",2023.10.24,Rating Score5.0,“워라밸이 보장되는 회사.”
27,"Verified User
          현직원 · V***** · 품질관리·보증 전문가 - 2023.10.23",2023.10.23,Rating Score4.0,“출퇴근 빡센회사”
28,"Verified User
          현직원 · 아******* · 연구개발(R&D) - 2023.10.21",2023.10.21,Rating Score3.0,“욕심없이 다니기 충분한 회사”
29,"Verified User
          현직원 · D***** · 회계·세무·재무 전문가 - 2023.10.20",2023.10.20,Rating Score5.0,“기회가 제공되는 회사”
30,"Verified User
          현직원 · i******** · 경영지원·관리 전문가 - 2023.10.17",2023.10.17,Rating Score4.0,“사업부마다 분위기가 매우 다름”
31,"Verified User
          현직원 · 센**** · 생산엔지니어·생산관리 - 2023.10.16",2023.10.16,Rating Score5.0,“전반적으로 만족하는 회사”
32,"Verified User
          현직원 · g******* · 생산엔지니어·생산관리 - 2023.10.16",2023.10.16,Rating Score5.0,“최고로 일하기 좋은 회사”
33,"Verified User
          현직원 · 틀* · 해외영업·사업개발·마케팅 - 2023.10.16",2023.10.16,Rating Score5.0,“워라밸 돈 네임드까지 전반적 만족”
34,"Verified User
          현직원 · 1******** · 생산엔지니어·생산관리 - 2023.10.15",2023.10.15,Rating Score5.0,“일반직 신입 월급 적으나 일은 재밌음”
35,"Verified User
          현직원 · ㅣ******** · 생산엔지니어·생산관리 - 2023.10.13",2023.10.13,Rating Score5.0,“워라밸이 보장되는 회사”
36,"Verified User
          현직원 · i********* · 경영지원·관리 전문가 - 2023.10.12",2023.10.12,Rating Score5.0,“그래도 괜찮다”
37,"Verified User
          현직원 · i********* · IT 기획·매니지먼트 전문가 - 2023.10.11",2023.10.11,Rating Score3.0,“워라밸은 보장되는 회사”
