,info,date,rating,title
0,"Verified User
          현직원 · M***** · 경영지원·관리 전문가 - 2023.11.22",2023.11.22,Rating Score2.0,“제조업 준비가 되지 않은 대기업의 탈을 쓴 스타트업 Skon ”
1,"Verified User
          현직원 · i**** · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score3.0,“그냥 그래요”
2,"Verified User
          현직원 · O***** · 경영전략·사업기획·분석전문가 - 2023.11.26",2023.11.26,Rating Score4.0,“대기업 다운 회사”
3,"Verified User
          현직원 · 싸******* · 생산엔지니어·생산관리 - 2023.11.25",2023.11.25,Rating Score4.0,“망할까바 무서운 회사”
4,"Verified User
          현직원 · m***** · IT 엔지니어 - 2023.11.25",2023.11.25,Rating Score4.0,“전체적으로 점점 평범해지는 회사”
5,"Verified User
          현직원 · u******** · IT 엔지니어 - 2023.11.23",2023.11.23,Rating Score4.0,“돈은 섭섭하지 않아서 와이프가 좋아하는 회사”
6,"Verified User
          현직원 · c***** · 경영지원·관리 전문가 - 2023.11.22",2023.11.22,Rating Score5.0,“SK뽕은 존재한다”
7,"Verified User
          현직원 · u***** · 경영전략·사업기획·분석전문가 - 2023.11.22",2023.11.22,Rating Score4.0,“전략기획을 많이 배울 수 있는 회사”
8,"Verified User
          현직원 · f****** · 연구개발(R&D) - 2023.11.22",2023.11.22,Rating Score5.0,“연구직으로 좋은 회사”
9,"Verified User
          현직원 · 센***** · 생산엔지니어·생산관리 - 2023.11.21",2023.11.21,Rating Score5.0,“복지가 정말 좋은회사”
10,"Verified User
          현직원 · e***** · 생산엔지니어·생산관리 - 2023.11.21",2023.11.21,Rating Score3.0,“회사인지 유치원인지 모를 회사”
11,"Verified User
          현직원 · ₩***** · 생산엔지니어·생산관리 - 2023.11.20",2023.11.20,Rating Score3.0,“아직까지는 모르겠는 회사”
12,"Verified User
          현직원 · c***** · 회계·세무·재무 전문가 - 2023.11.15",2023.11.15,Rating Score4.0,“좋은건 많지만 미래는 그닥”
